Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	gseIMFBx_avg(nT)	gseIMFBy_avg(nT)	gseIMFBz_avg(nT)	Shock_Ang(deg)	ionVx_gsm_avg(km/s)	ionVx_gsm_med(km/s)	ionVx_gsm_std(km/s)	ionVx_gsm_rms(km/s)	ionDen_avg(1/cc)	ionDen_med(1/cc)	ionDen_std(1/cc)
2019-01-22 12:05:00	2019-01-22 12:15:00	15.00935903456304	13.462611268258136	-3.837079455547393	5.414344224979156	260.623	3.537	-1.115	-0.117	3.764	-283.9075878401448	-283.4385986328125	10.590687276767067	284.10505291212934	6.759997	6.8203545	1.0735191
2019-01-22 15:00:00	2019-01-22 15:10:00	17.560327918943234	16.1119906668024	-3.782536153706617	5.870352108905607	281.017	1.987	-4.322	1.49	48.333	-308.4140301604769	-307.86744689941406	4.867163370562817	308.4524327657399	7.5740585	7.436739	0.8254809
2019-01-22 15:50:00	2019-01-22 16:00:00	18.19515166353172	16.770247767771767	-3.822514820165429	5.933842893346156	302.497	4.512	-3.337	3.058	32.924	-311.0260995333312	-310.5078125	4.493897421825402	311.05856314359124	6.293203	6.1113963	0.6821805
2019-01-22 21:45:00	2019-01-22 21:55:00	21.755064123216385	20.45382910675752	-3.9521302761172783	6.269304773710014	262.571	3.193	-3.187	0.855	27.791	-314.8077246085756	-316.961181640625	8.322516495520933	314.91771584661126	6.992741	6.8623376	0.98470116
2019-01-22 22:25:00	2019-01-22 22:35:00	22.06577998994054	20.77467514096858	-3.870073977662314	6.350889758546399	283.689	2.887	-2.852	2.103	36.409	-314.8077246085756	-316.961181640625	8.322516495520933	314.91771584661126	6.992741	6.8623376	0.98470116
2019-01-22 23:05:00	2019-01-22 23:15:00	22.36016653345968	21.07854619502598	-3.754823198086916	6.447704068526696	268.566	3.723	-3.535	1.398	28.137	-314.8077246085756	-316.961181640625	8.322516495520933	314.91771584661126	6.992741	6.8623376	0.98470116
2019-01-22 23:35:00	2019-01-22 23:45:00	22.57048480101544	21.29556923627808	-3.644865746617184	6.529932012475602	278.468	4.827	-3.42	2.113	25.106	-314.8077246085756	-316.961181640625	8.322516495520933	314.91771584661126	6.992741	6.8623376	0.98470116
2019-01-31 06:20:00	2019-01-31 06:30:00	20.58198842682962	18.78440193021854	-5.9727860236102375	5.923555905908546	270.142	6.162	-6.275	1.397	30.698	-308.61815357834297	-308.8802185058594	2.790127152031115	308.63076568551975	13.391574	13.085301	0.9998274
2019-01-31 06:50:00	2019-01-31 07:00:00	20.860232501476368	19.08788618473672	-5.773263032179013	6.1212480005895324	244.71	5.0	-6.967	-1.753	39.785	-308.61815357834297	-308.8802185058594	2.790127152031115	308.63076568551975	13.391574	13.085301	0.9998274
2019-01-31 10:45:00	2019-01-31 10:55:00	22.704234969043195	21.12147214726641	-4.530765282156805	6.988382152898647	251.054	5.147	-7.7	-1.748	41.062	-308.61815357834297	-308.8802185058594	2.790127152031115	308.63076568551975	13.391574	13.085301	0.9998274
2019-01-31 12:20:00	2019-01-31 12:30:00	23.29360971459052	21.78337392083488	-4.316686055162904	7.03156537059047	235.588	4.742	-8.27	-4.37	49.017	-308.61815357834297	-308.8802185058594	2.790127152031115	308.63076568551975	13.391574	13.085301	0.9998274
2019-01-31 12:50:00	2019-01-31 13:00:00	23.46228501092869	21.974456592282777	-4.285028976939203	7.01715318659544	230.469	6.073	-8.66	-5.478	45.845	-308.61815357834297	-308.8802185058594	2.790127152031115	308.63076568551975	13.391574	13.085301	0.9998274
2019-01-31 13:50:00	2019-01-31 14:00:00	23.77522499304016	22.331492274920503	-4.265759956189921	6.95477589732333	254.684	10.162	-10.032	-1.178	29.42	-308.61815357834297	-308.8802185058594	2.790127152031115	308.63076568551975	13.391574	13.085301	0.9998274
2019-01-31 14:20:00	2019-01-31 14:30:00	23.919691984355296	22.497645603750644	-4.274654670889532	6.909034917022594	232.428	8.767	-10.302	-5.55	39.439	-308.61815357834297	-308.8802185058594	2.790127152031115	308.63076568551975	13.391574	13.085301	0.9998274
2019-02-05 21:50:00	2019-02-05 22:00:00	13.622247650680992	10.598410374289308	-8.374275982378563	1.763477021285475	282.22	7.787	-0.858	0.718	4.342	-1.5867439777331245	4.393011569976807	32.96314006881611	33.001308453563816	8.69106	1.4992266	8.9984
2019-02-06 00:15:00	2019-02-06 00:25:00	16.13642460652458	13.210460026399106	-8.983551180509759	2.272169059333224	291.107	4.015	-3.707	4.14	46.145	-95.7627666641895	-95.05060577392578	33.63444831964891	101.4977024023063	22.011564	21.777073	3.1493275
2019-02-06 02:20:00	2019-02-06 02:30:00	17.988499719947736	15.16106575899986	-9.15720946154685	3.1419958100110463	229.723	3.643	-4.448	-1.322	39.564	-357.0845648973508	-355.4059143066406	8.494596761990312	357.1855885419779	5.8530703	5.602478	0.7693531
2019-02-06 11:45:00	2019-02-06 11:55:00	23.858259853655568	21.54161912929268	-7.57189866391916	6.916740764649909	227.062	2.767	-5.91	-4.153	59.122	-365.14287855531717	-368.85675048828125	16.647798007350172	365.52218939232216	7.493453	7.421025	0.93425596
2019-02-11 22:20:00	2019-02-11 22:30:00	15.452241941536982	15.126734027620191	1.1818466305984028	2.92509117367605	243.061	-5.025	-4.947	0.143	53.931	-389.25555695268446	-390.44256591796875	4.6351412907196075	389.283152927698	10.246777	10.178066	0.41514355
2019-02-12 04:40:00	2019-02-12 04:50:00	6.8142569637937855	5.966314442655697	3.1637181442464217	0.9070321101180152	261.06	3.698	-5.553	1.112	46.908	1.4760392421661919	1.5569264888763428	2.7890806219289206	3.155576422784585	3.0128238	2.9608965	0.30838868
2019-02-15 13:20:00	2019-02-15 13:30:00	12.084530942436205	11.820679617129558	2.0436720360662144	1.4593139207840533	279.525	2.862	-1.803	0.732	27.206	4.602653193294554	4.132542610168457	6.610374216806634	8.054903084703533	0.5284854	0.5242378	0.036552276
2019-02-16 05:55:00	2019-02-16 06:05:00	17.163030476423828	12.63202114415512	-11.15468188836048	3.2515192569894933	275.513	1.98	-2.783	1.187	48.806	-218.08221967896418	-212.51268768310547	76.42711231333617	231.086473071574	6.140917	5.3020487	3.2753406
2019-02-16 07:40:00	2019-02-16 07:50:00	18.70091189283496	14.204157470438084	-11.359759998051336	4.349734454733798	266.289	1.772	-3.15	0.562	52.047	-148.57478382276452	-135.67813873291016	51.09818422843846	157.1161698216471	9.44823	9.925297	2.6024985
2019-02-16 09:10:00	2019-02-16 09:20:00	19.896362526184124	15.44442891213037	-11.476773297149087	5.0613814541256605	262.389	2.402	-2.755	0.183	39.716	-148.57478382276452	-135.67813873291016	51.09818422843846	157.1161698216471	9.44823	9.925297	2.6024985
2019-03-04 21:55:00	2019-03-04 22:05:00	16.570097333791896	16.05217995068044	-4.105595786239575	-0.1972973524281218	245.172	2.885	-3.955	0.47	53.187	-350.5838495510728	-369.3163604736328	41.47454605880415	353.02857325835976	3.7659357	3.726653	0.91122675
2019-03-05 11:45:00	2019-03-05 11:55:00	8.913063821326448	2.3927194895281367	-8.34378199843947	2.0238647337254574	309.678	4.63	-1.405	1.813	26.75	1.2712046523378273	1.5584454536437988	7.072736236721884	7.186067014881239	1.2164294	1.0774152	0.4848506
2019-03-05 14:25:00	2019-03-05 14:35:00	12.650778376474044	5.320855395653389	-11.295136561298929	2.036784633967076	238.966	3.752	-3.655	-0.905	43.981	20.39092881518199	14.387718200683594	28.71990284768594	35.22247574385336	0.42265144	0.4195963	0.02668982
