Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	IMFBx_avg(nT)	IMFBy_avg(nT)	IMFBz_avg(nT)	ionVx_gsm_avg(km/s)	ionVx_gsm_med(km/s)	ionVx_gsm_std(km/s)	ionVx_gsm_rms(km/s)	ionDen_avg(1/cc)	ionDen_med(1/cc)	ionDen_std(1/cc)
2018-03-08 22:55:00	2018-03-08 23:05:00	23.20497171269255	15.820136078994272	-16.800880363552242	-2.4339418196898617	87.893	2.398	1.688	0.042	-329.4036339012352	-329.9372253417969	3.2391272856485736	329.41955918389493	7.0597234	6.9973	0.48207706
2018-03-09 07:30:00	2018-03-09 07:40:00	18.84380872409994	14.38735234208838	-11.94950841412257	2.3023000397855067	51.597	0.03	4.652	3.675	-334.52497848356614	-334.42518615722656	4.736527772831831	334.55850897081245	6.8022585	6.913726	0.6581098
2018-03-09 15:05:00	2018-03-09 15:15:00	11.837367148832252	10.367410068602666	-5.405834387249304	1.8482003907968263	76.501	-2.158	4.155	0.993	8.0283975233709	3.291106939315796	26.172429590552895	27.376107054614558	2.7110322	1.0835096	2.7263732
2018-03-09 15:55:00	2018-03-09 16:05:00	10.766868476574729	9.621835933222426	-4.5476700492298505	1.6318719833042603	85.458	-2.328	3.145	0.243	13.172751342219518	10.32104778289795	16.07432600002238	20.78233226274043	0.8456446	0.7787064	0.16083601
2018-03-09 16:45:00	2018-03-09 16:55:00	9.602685911325908	8.769508787378557	-3.63312672644888	1.45115575164344	91.948	-1.745	2.655	-0.088	2.12663841180837	2.1465811729431152	7.886731487529655	8.16842239915215	0.7132024	0.7136196	0.030322906
2018-03-12 02:15:00	2018-03-12 02:25:00	19.467327671196887	14.113810574542333	-13.38382145866352	-0.8053698275494149	72.201	0.585	3.243	1.04	-366.567998533403	-366.6493225097656	1.3083442816693938	366.570333378936	5.5159454	5.5234895	0.29301688
2018-03-12 02:45:00	2018-03-12 02:55:00	19.13885493230347	13.985747516507663	-13.055307751588272	-0.5014478968710913	75.441	0.502	3.298	0.86	-366.567998533403	-366.6493225097656	1.3083442816693938	366.570333378936	5.5159454	5.5234895	0.29301688
2018-03-12 04:05:00	2018-03-12 04:15:00	18.20343026433369	13.595536083936496	-12.09998914147304	0.3377340543389869	47.231	-1.03	2.175	2.023	-362.8334118287955	-362.81028747558594	2.158123601998059	362.8398300032754	5.2433996	5.2297015	0.2796276
2018-03-25 21:50:00	2018-03-25 22:00:00	22.69409150304812	10.993979936261496	-19.39568986916069	-4.238029692930671	124.692	-1.338	4.198	-2.89	-442.0133681524368	-442.0618896484375	2.0032450081890767	442.0179075739177	7.6578064	7.6360445	0.27839178
2018-03-28 13:45:00	2018-03-28 13:55:00	23.91315085817056	9.722048431504591	-21.81729528401733	1.1507244040610571	115.171	2.288	1.167	-0.553	-356.232337490089	-375.4351043701172	68.40496378497231	362.74056478987296	2.3375542	2.291153	0.8409004
2018-03-29 00:40:00	2018-03-29 00:50:00	18.83637539039363	10.207332658702024	-15.555569322070236	-2.939801227099952	49.125	2.725	0.633	0.538	-333.94231627041233	-334.30908203125	5.457760320649865	333.98691253365865	3.675387	3.5503585	0.50251526
2018-03-29 22:55:00	2018-03-29 23:05:00	14.752273511234206	-1.4171055941484445	-13.98430483662728	-4.478793767851643	64.888	-2.382	4.727	2.19	1.5977805702758014	-8.25066089630127	31.559808182095853	31.60022777198663	0.7502423	0.7476382	0.04461896
2018-03-30 06:50:00	2018-03-30 07:00:00	20.6711630950316	1.4990891949892131	-20.602637362139888	-0.7598898687222997	90.137	-1.995	3.4	-0.047	-288.08904596584944	-292.2742004394531	53.50496854957088	293.01549458177783	15.898237	14.677473	6.891878
2018-03-30 11:35:00	2018-03-30 11:45:00	22.867745781763432	3.158031319883129	-22.61513603892893	1.2311762326750677	120.63	2.308	2.6	-1.557	-414.09461496837105	-413.90806579589844	3.6864343700961304	414.1110236931256	6.246	6.1525135	0.41659528
2018-03-31 09:20:00	2018-03-31 09:30:00	23.887320967950643	8.749075315261189	-22.15562301756517	1.7846558701228032	116.74	1.693	3.287	-1.65	-424.439524880771	-424.2193145751953	9.872071880800746	424.5543170010573	6.796146	6.6873035	1.0419636
2018-03-31 14:30:00	2018-03-31 14:40:00	22.033498769407103	9.370830650631904	-19.92886643574764	0.707392333738527	127.973	-2.823	1.357	-1.072	-424.439524880771	-424.2193145751953	9.872071880800746	424.5543170010573	6.796146	6.6873035	1.0419636
2018-03-31 17:45:00	2018-03-31 17:55:00	20.375645222262268	9.540114320684763	-17.92541298356484	-1.6821903477718732	71.79	-2.793	2.95	0.98	-388.4274417250904	-388.00164794921875	8.583899108941017	388.5222783947028	6.374912	6.1829276	1.4591988
2018-03-31 18:15:00	2018-03-31 18:25:00	20.08264386169164	9.547366132522097	-17.554727913513627	-1.9973158125058363	81.74	-2.658	3.322	0.452	-394.599921610818	-394.47434997558594	11.994095488935711	394.7821633025755	6.0702143	6.040534	1.5736712
2018-04-01 01:35:00	2018-04-01 01:45:00	14.316138598401832	8.80593097132792	-11.168314671986396	-1.6353479480516944	76.816	0.492	3.648	0.847	-373.71188434801604	-406.8809814453125	79.19460417246694	382.01093941532434	13.98943	9.271182	12.830176
2018-04-01 03:15:00	2018-04-01 03:25:00	12.496561005796467	8.294520126695263	-9.321394130964933	-0.6886212291993052	55.915	-2.422	4.093	2.75	-117.21244476090617	-116.63754653930664	10.203357570301725	117.6557083720799	25.092194	25.133274	2.1406126
2018-04-01 12:50:00	2018-04-01 13:00:00	7.526812182476948	-3.4374012966440204	-6.690018881060877	-0.2773129361045486	102.785	-3.643	2.597	-0.587	0.7848288594033774	0.9112040996551514	12.724409826580901	12.748590579877488	0.73883784	0.72309685	0.05790233
2018-04-01 13:20:00	2018-04-01 13:30:00	8.35380586621997	-3.401041071328166	-7.622406145661677	-0.3386897348524811	83.101	-4.08	2.663	0.338	0.7848288594033774	0.9112040996551514	12.724409826580901	12.748590579877488	0.73883784	0.72309685	0.05790233
