Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	gseIMFBx_avg(nT)	gseIMFBy_avg(nT)	gseIMFBz_avg(nT)	Shock_Ang(deg)
2016-12-01 05:45:00	2016-12-01 05:55:00	9.476685967745738	9.341965755328518	1.3549951601926855	-0.8350343099170042	71.777	2.472	5.63	3.248	66.296
2016-12-01 06:15:00	2016-12-01 06:25:00	9.875004713999822	9.68235550483181	1.7326358924618557	-0.8740004498298838	57.229	2.448	4.798	4.943	76.829
2016-12-01 12:45:00	2016-12-01 12:55:00	11.988182871542593	10.45236080826654	5.777914692894318	-1.0386207464908528	51.4	1.448	3.47	5.09	82.924
2016-12-02 08:05:00	2016-12-02 08:15:00	11.067046842595769	10.615102516126058	2.967805032641445	-0.9948680443525648	110.759	-5.087	2.193	-0.14	18.96
2016-12-06 17:50:00	2016-12-06 18:00:00	9.703894281129346	7.23960863998569	6.366873372983311	1.101762469311417	57.914	0.505	7.26	5.133	85.572
2016-12-06 18:20:00	2016-12-06 18:30:00	9.287295858195089	6.700079913602159	6.305319500419675	1.2660605545163293	65.819	0.083	8.533	4.282	88.526
2016-12-06 18:50:00	2016-12-06 19:00:00	8.826495343506016	6.118699112475223	6.202408121240613	1.4126736378507154	77.161	-0.433	9.048	2.267	88.06
2016-12-06 19:20:00	2016-12-06 19:30:00	8.317536946935535	5.492759532922041	6.053791667696149	1.536010092283232	73.399	-1.027	8.59	2.575	84.193
2016-12-06 19:50:00	2016-12-06 20:00:00	7.755427881216497	4.818980096398084	5.8534780844214565	1.630098441603944	94.169	-2.997	8.037	-0.747	69.945
2016-12-06 20:20:00	2016-12-06 20:30:00	7.133747079035936	4.09338708293567	5.592833177888161	1.6883524780874632	90.013	-2.653	8.257	-0.268	72.375
2016-12-07 04:00:00	2016-12-07 04:10:00	8.48272847437651	8.454765427866457	-0.2294245004450213	-0.6468356342780867	108.899	-3.438	5.193	-1.41	57.204
2016-12-07 04:30:00	2016-12-07 04:40:00	8.976064956535796	8.955246968265017	0.1191973503247141	-0.5973286817061526	126.333	-3.248	4.74	-2.843	58.833
2016-12-07 05:00:00	2016-12-07 05:10:00	9.422579367698727	9.394012510408563	0.4688745390713008	-0.5618136017867067	124.587	-2.46	5.198	-2.723	66.395
2016-12-07 05:40:00	2016-12-07 05:50:00	9.951369099297237	9.892878218241774	0.9331159698666436	-0.5368162651518432	131.503	-2.513	4.875	-3.083	65.522
2016-12-07 06:10:00	2016-12-07 06:20:00	10.301778960773738	10.20821927474342	1.2776353558641962	-0.5337103008979645	133.831	-2.203	5.012	-3.318	69.008
2016-12-19 08:15:00	2016-12-19 08:25:00	11.803220598466618	11.72253096183231	1.3493287730701269	0.2759797601733664	124.769	-0.042	4.573	-2.158	81.67
2016-12-19 09:05:00	2016-12-19 09:15:00	11.942871085608733	11.798729759938894	1.8216421386948776	0.3199577951218675	117.38	-0.513	4.508	-1.348	75.543
2016-12-19 09:35:00	2016-12-19 09:45:00	11.988474056631976	11.798416505314284	2.097620371350325	0.3456716362237204	118.018	0.873	4.78	-1.463	87.877
2016-12-20 06:35:00	2016-12-20 06:45:00	11.325163215689487	11.320572624367172	0.2593450828098673	0.1874128601052516	116.51	5.4	3.607	-1.313	37.115
2016-12-21 02:10:00	2016-12-21 02:20:00	8.267285704512618	7.952275837627567	-2.0913182603870464	-0.8559804908973931	73.952	-6.685	4.918	0.723	29.36
2016-12-21 02:40:00	2016-12-21 02:50:00	8.781380827075068	8.546581065048827	-1.8897157955533948	-0.7034924334999869	81.31	-7.328	5.653	0.258	29.345
2016-12-21 03:10:00	2016-12-21 03:20:00	9.246852366570286	9.077890616756749	-1.670402637294733	-0.5509262660188793	86.813	-7.238	5.905	-0.147	30.529
2016-12-21 03:40:00	2016-12-21 03:50:00	9.667750212811024	9.55194258605466	-1.4357533207124693	-0.4027266507778259	91.623	-6.308	7.298	-0.625	40.586
