Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2015-11-01/14:20:00	2015-11-01/14:30:00	167.263	-2.665	0.962	-4.205
2015-11-01/15:55:00	2015-11-01/16:05:00	151.615	-4.23	1.615	-3.18
2015-11-01/16:25:00	2015-11-01/16:35:00	156.222	-3.547	1.74	-3.927
2015-11-01/16:55:00	2015-11-01/17:05:00	143.444	-3.662	2.687	-3.617
2015-11-01/17:25:00	2015-11-01/17:35:00	139.437	-3.207	3.215	-3.703
2015-11-01/17:55:00	2015-11-01/18:05:00	144.579	-3.49	2.635	-3.727
2015-11-01/18:55:00	2015-11-01/19:05:00	140.198	-3.652	3.21	-3.86
2015-11-02/13:05:00	2015-11-02/13:15:00	194.676	4.537	-1.593	-5.997
2015-11-02/13:35:00	2015-11-02/13:45:00	212.755	3.068	-3.883	-6.012
2015-11-02/14:10:00	2015-11-02/14:20:00	211.757	-0.425	-3.762	-6.118
2015-11-04/12:45:00	2015-11-04/12:55:00	167.17	-6.17	1.305	-5.753
2015-11-05/07:30:00	2015-11-05/07:40:00	145.948	-2.91	2.157	-3.195
2015-11-05/08:00:00	2015-11-05/08:10:00	174.046	-3.68	0.358	-3.248
2015-11-05/08:45:00	2015-11-05/08:55:00	183.579	-2.637	-0.278	-4.367
2015-11-05/09:15:00	2015-11-05/09:25:00	190.208	-3.022	-0.772	-4.122
2015-11-05/10:05:00	2015-11-05/10:15:00	135.751	-2.288	2.69	-2.563
2015-11-05/17:50:00	2015-11-05/18:00:00	220.38	-3.17	-1.953	-2.352
2015-11-06/00:55:00	2015-11-06/01:05:00	139.99	-5.437	0.642	-0.768
2015-11-06/02:30:00	2015-11-06/02:40:00	164.735	-5.523	0.597	-2.15
2015-11-07/04:40:00	2015-11-07/04:50:00	158.392	6.035	4.163	-10.502
2015-11-07/05:10:00	2015-11-07/05:20:00	163.225	4.428	3.143	-10.375
2015-11-09/02:05:00	2015-11-09/02:15:00	158.336	-1.497	1.603	-4.038
2015-11-09/04:45:00	2015-11-09/04:55:00	143.028	1.762	2.568	-3.39
2015-11-09/05:45:00	2015-11-09/05:55:00	171.266	4.685	0.553	-3.655
2015-11-09/07:35:00	2015-11-09/07:45:00	172.162	6.113	0.547	-3.92
2015-11-09/08:45:00	2015-11-09/08:55:00	178.523	5.492	0.103	-4.543
2015-11-09/09:15:00	2015-11-09/09:25:00	181.709	5.087	-0.158	-5.088
2015-11-09/09:45:00	2015-11-09/09:55:00	178.754	4.968	0.105	-5.235
2015-11-09/10:40:00	2015-11-09/10:50:00	172.356	4.8	0.652	-4.757
2015-11-09/11:10:00	2015-11-09/11:20:00	168.901	4.598	0.97	-4.992
2015-11-09/11:40:00	2015-11-09/11:50:00	180.305	4.543	-0.03	-5.298
2015-11-09/12:45:00	2015-11-09/12:55:00	178.376	2.498	0.18	-5.55
2015-11-09/13:15:00	2015-11-09/13:25:00	169.076	2.012	1.073	-5.508
2015-11-09/13:50:00	2015-11-09/14:00:00	136.287	-3.633	3.538	-3.678
2015-11-09/14:20:00	2015-11-09/14:30:00	138.627	-2.65	4.185	-4.817
2015-11-10/03:20:00	2015-11-10/03:30:00	138.589	-5.677	3.933	-4.355
2015-11-10/10:35:00	2015-11-10/10:45:00	147.124	-0.162	3.983	-6.177
2015-11-10/11:05:00	2015-11-10/11:15:00	153.46	-0.638	3.122	-6.28
2015-11-10/11:50:00	2015-11-10/12:00:00	159.222	-0.738	2.17	-5.797
2015-11-13/02:35:00	2015-11-13/02:45:00	138.071	-2.895	1.097	-1.232
2015-11-13/04:05:00	2015-11-13/04:15:00	147.907	-2.93	0.663	-1.043
2015-11-13/08:25:00	2015-11-13/08:35:00	222.05	0.142	-2.287	-2.528
2015-11-16/13:35:00	2015-11-16/13:45:00	144.971	-2.258	4.093	-5.805
2015-11-16/14:30:00	2015-11-16/14:40:00	147.081	-3.253	3.523	-5.442
2015-11-16/15:00:00	2015-11-16/15:10:00	151.429	-3.437	3.045	-5.578
2015-11-17/14:00:00	2015-11-17/14:10:00	137.266	-5.283	2.35	-2.542
2015-11-19/08:55:00	2015-11-19/09:05:00	215.447	3.283	-1.817	-2.575
2015-11-19/10:00:00	2015-11-19/10:10:00	156.823	2.528	1.19	-2.845
2015-11-26/13:10:00	2015-11-26/13:20:00	159.972	-1.682	0.978	-2.687
2015-11-29/22:30:00	2015-11-29/22:40:00	162.32	-6.212	1.585	-5.055
2015-11-30/10:40:00	2015-11-30/10:50:00	148.291	-5.602	3.902	-6.272
2015-12-02/04:00:00	2015-12-02/04:10:00	139.411	-5.168	1.828	-1.952
2015-12-03/02:40:00	2015-12-03/02:50:00	137.534	-2.962	2.652	-2.957
2015-12-06/10:00:00	2015-12-06/10:10:00	147.82	-3.783	3.96	-6.272
2015-12-06/10:55:00	2015-12-06/11:05:00	135.372	-4.767	4.842	-4.817
2015-12-08/09:00:00	2015-12-08/09:10:00	160.158	-4.263	0.335	-0.935
2015-12-09/14:25:00	2015-12-09/14:35:00	172.661	-3.788	0.312	-2.575
2015-12-10/03:45:00	2015-12-10/03:55:00	167.972	-4.03	1.513	-7.233
2015-12-11/06:35:00	2015-12-11/06:45:00	143.794	-5.358	1.78	-2.377
2015-12-12/03:15:00	2015-12-12/03:25:00	199.345	-3.99	-0.812	-2.258
2015-12-13/03:45:00	2015-12-13/03:55:00	148.551	-2.79	1.35	-2.155
2015-12-13/10:35:00	2015-12-13/10:45:00	150.3	-3.008	1.227	-2.052
2015-12-13/11:40:00	2015-12-13/11:50:00	161.392	-3.378	0.587	-1.702
2015-12-13/12:10:00	2015-12-13/12:20:00	135.184	-3.318	1.235	-1.235
2015-12-14/06:25:00	2015-12-14/06:35:00	154.176	-2.918	1.133	-2.333
2015-12-14/06:55:00	2015-12-14/07:05:00	154.984	-2.85	1.033	-2.21
2015-12-14/08:55:00	2015-12-14/09:05:00	150.137	-1.16	1.353	-2.273
2015-12-14/10:35:00	2015-12-14/10:45:00	162.451	-2.737	0.228	-0.713
2015-12-14/11:05:00	2015-12-14/11:15:00	154.79	-2.813	0.33	-0.695
2015-12-14/21:45:00	2015-12-14/21:55:00	195.511	5.8	-2.173	-8.048
2015-12-15/01:00:00	2015-12-15/01:10:00	223.267	6.112	-4.148	-4.422
2015-12-15/03:15:00	2015-12-15/03:25:00	191.059	5.208	-1.175	-5.472
2015-12-18/21:00:00	2015-12-18/21:10:00	215.938	-1.892	-2.94	-4.07
2015-12-19/08:15:00	2015-12-19/08:25:00	217.253	2.158	-1.035	-1.347
2015-12-20/06:15:00	2015-12-20/06:25:00	178.761	5.938	0.307	-13.923
2015-12-20/06:45:00	2015-12-20/06:55:00	174.544	5.655	1.25	-13.062
2015-12-20/07:15:00	2015-12-20/07:25:00	167.515	8.25	2.663	-11.99
2015-12-20/07:45:00	2015-12-20/07:55:00	168.768	8.11	2.382	-12.003
2015-12-22/01:05:00	2015-12-22/01:15:00	214.46	-4.365	-3.718	-5.493
2015-12-25/07:15:00	2015-12-25/07:25:00	222.688	3.052	-3.022	-3.432
2015-12-27/06:30:00	2015-12-27/06:40:00	218.006	5.268	-2.395	-3.125
2015-12-27/07:15:00	2015-12-27/07:25:00	221.663	5.403	-2.518	-2.808
2015-12-29/01:10:00	2015-12-29/01:20:00	177.447	-4.112	0.132	-2.405
