Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	IMFBx_avg(nT)	IMFBy_avg(nT)	IMFBz_avg(nT)
2016-05-10 03:45:00	2016-05-10 03:55:00	7.693056444786805	-7.6043351414494005	-0.08917268315041253	-1.1599446416635064	207.754	2.147	-1.587	-3.01
2016-05-10 04:15:00	2016-05-10 04:25:00	8.2616932487562	-8.134633991947	-0.5383339993305922	-1.3379693718394972	215.472	2.042	-2.045	-2.932
2016-05-10 13:20:00	2016-05-10 13:30:00	11.90632723369911	-9.648941973130846	-6.719644768230983	-1.8717892466920691	170.119	-2.607	0.76	-4.083
2016-05-13 09:15:00	2016-05-13 09:25:00	11.675972497627846	-10.677899559755348	-4.42989522130427	-1.6386496589764723	212.998	1.487	-2.487	-3.825
2016-05-13 11:20:00	2016-05-13 11:30:00	12.0002409972143	-10.485523893568603	-5.625496290143272	-1.5530710051251824	224.59	-2.818	-4.262	-4.323
2016-05-14 12:55:00	2016-05-14 13:05:00	11.89824279790635	-10.036486826971936	-6.19470837695276	-1.568885543454039	201.22	1.27	-1.492	-3.85
2016-05-14 18:50:00	2016-05-14 19:00:00	8.727516040712544	-5.392226398469854	-6.358147766518535	-2.5816171843419933	197.557	0.338	-1.877	-5.907
2016-05-18 04:35:00	2016-05-18 04:45:00	9.456870700296752	-9.337746668961223	-0.5631301356355963	-1.3853345597302074	213.984	-3.378	-2.157	-3.307
2016-05-19 07:55:00	2016-05-19 08:05:00	11.475992028157998	-10.963556233202576	-3.0343896332855405	-1.5131085098821544	151.205	0.568	2.225	-4.047
2016-05-19 10:05:00	2016-05-19 10:15:00	11.965044845824286	-11.050623324527706	-4.391116703519557	-1.3276463302582189	139.663	1.653	3.277	-3.878
2016-05-19 11:05:00	2016-05-19 11:15:00	12.0084134892193	-10.884128859976798	-4.913961438923576	-1.2606988177500849	142.067	3.368	2.643	-3.375
2016-05-19 11:35:00	2016-05-19 11:45:00	11.987623160836554	-10.753876537992051	-5.148838241944465	-1.2431396790240286	137.747	2.985	2.95	-3.187
2016-05-21 03:20:00	2016-05-21 03:30:00	8.620717466009014	-8.538129492101179	0.517577190266611	-1.0706023512141263	199.482	6.355	-1.03	-2.943
2016-05-21 14:25:00	2016-05-21 14:35:00	11.232713846796292	-9.471572626060096	-5.897005121528064	-1.2988436446768985	149.83	-6.43	2.453	-4.22
2016-05-22 03:45:00	2016-05-22 03:55:00	9.129244597344318	-9.049394082045502	0.25322049203828295	-1.176734619094561	146.015	-4.675	1.865	-2.725
2016-05-22 12:00:00	2016-05-22 12:10:00	11.90718964435869	-10.745230364127869	-5.014725612758505	-1.0827793090492628	222.649	-4.278	-2.057	-2.163
2016-05-25 14:35:00	2016-05-25 14:45:00	10.946451718608389	-9.3952578260246	-5.517663033176749	-1.052498474938731	150.049	-0.56	1.508	-2.71
2016-05-27 02:40:00	2016-05-27 02:50:00	8.619895670239343	-8.482862741911555	1.2468660581360018	-0.8865478097629179	210.31	3.722	-3.253	-5.718
2016-05-27 03:15:00	2016-05-27 03:25:00	9.177008127100898	-9.076929316171622	0.8676540447402522	-1.0350424990005365	206.902	3.74	-2.568	-5.142
2016-09-01 01:10:00	2016-09-01 01:20:00	11.699866281470273	-5.557970077947812	9.964834643794495	-2.5877478369536653	143.253	-1.872	3.335	-4.408
2016-09-01 04:50:00	2016-09-01 05:00:00	9.916082368503703	-6.324402950913734	7.226105886734691	-2.4722442624547383	144.672	-2.09	4.83	-6.798
2016-09-01 06:00:00	2016-09-01 06:10:00	8.937221046021731	-6.25354837195102	6.005344495842098	-2.1680748663998766	140.358	1.728	5.458	-6.65
2016-09-01 06:45:00	2016-09-01 06:55:00	8.175453262850668	-6.086643032056102	5.133767892189128	-1.8526932881659388	176.24	3.153	0.522	-7.713
2016-09-01 20:00:00	2016-09-01 20:10:00	11.522430139862427	-2.832419396571608	10.601034908519003	-3.515604663139367	167.962	1.19	1.295	-6.375
2016-09-05 18:55:00	2016-09-05 19:05:00	11.300494460345947	-1.7465336976840897	10.416726393621445	-4.017424639597833	150.629	0.607	2.605	-4.608
2016-09-06 02:55:00	2016-09-06 03:05:00	10.764351534286819	-5.472374848932567	8.897457569145011	-2.5995791516281783	153.677	0.218	1.602	-3.28
2016-09-06 06:10:00	2016-09-06 06:20:00	8.159138920850152	-5.629810829529197	5.5727455961325205	-1.9540992182583654	171.294	3.382	0.673	-4.33
2016-09-06 22:45:00	2016-09-06 22:55:00	11.965462651371068	-3.788725332760096	11.000556083056757	-2.7936052316717075	148.063	2.76	1.768	-2.752
2016-09-08 04:20:00	2016-09-08 04:30:00	9.662702437631076	-5.471863031809721	7.578291450707382	-2.4482465477391764	210.44	3.53	-2.322	-4.03
2016-09-08 06:30:00	2016-09-08 06:40:00	7.503370185944835	-5.318693065549008	5.009687573273706	-1.7064036974439156	139.732	-1.797	2.713	-3.127
2016-09-08 14:55:00	2016-09-08 15:05:00	8.906343678461822	1.0428824064940694	7.322036698310899	-4.961797332417756	206.51	-0.557	-1.963	-3.928
2016-09-14 04:35:00	2016-09-14 04:45:00	8.83780198438403	-4.834226035888805	7.057403917501728	-2.2198198864660617	214.545	-0.675	-2.748	-3.997
2016-09-14 05:35:00	2016-09-14 05:45:00	7.774912524507861	-4.832699791710284	5.794720924280703	-1.874143811316763	221.66	-0.41	-2.857	-3.21
2016-09-14 13:00:00	2016-09-14 13:10:00	7.582730497101967	2.434892705170945	5.5196334146818495	-4.59332835948367	200.915	-1.42	-2.153	-5.65
2016-09-14 15:25:00	2016-09-14 15:35:00	9.903515465691722	1.2269588424866376	8.340916313151801	-5.196134322113994	169.606	-4.955	0.787	-4.613
2016-09-14 15:55:00	2016-09-14 16:05:00	10.256292752308175	0.9483574803382849	8.82331672523906	-5.141763646462164	166.397	-5.805	0.753	-3.02
2016-09-14 16:25:00	2016-09-14 16:35:00	10.57195357613068	0.6655923068747452	9.269043353662662	-5.040289539034472	165.088	-5.783	0.727	-2.617
