Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2015-09-21/12:10:00	2015-09-21/12:20:00	28.223	4.493	1.633	3.1
2015-09-21/21:55:00	2015-09-21/22:05:00	19.044	-3.875	0.885	2.592
2015-09-21/22:25:00	2015-09-21/22:35:00	7.179	-3.98	0.38	3.02
2015-09-22/21:20:00	2015-09-22/21:30:00	7.09	3.48	0.328	2.593
2015-09-29/11:55:00	2015-09-29/12:05:00	15.021	2.038	0.98	3.593
2015-10-10/09:20:00	2015-10-10/09:30:00	28.547	-3.002	1.748	3.175
2015-10-11/07:50:00	2015-10-11/08:00:00	25.885	-1.687	1.478	3.173
2015-10-11/08:25:00	2015-10-11/08:35:00	22.027	-2.073	1.312	3.228
2015-10-11/09:55:00	2015-10-11/10:05:00	34.33	-1.668	2.01	3.117
2015-10-11/16:20:00	2015-10-11/16:30:00	36.709	-0.643	2.362	3.172
2015-10-16/18:35:00	2015-10-16/18:45:00	40.423	0.125	1.733	2.043
2015-10-19/14:20:00	2015-10-19/14:30:00	42.632	-3.177	0.975	1.04
2015-10-22/08:30:00	2015-10-22/08:40:00	6.678	4.058	0.388	3.513
2015-10-22/09:30:00	2015-10-22/09:40:00	5.556	-0.263	0.482	4.888
2015-10-22/10:00:00	2015-10-22/10:10:00	11.126	-1.283	0.912	4.625
2015-10-22/10:30:00	2015-10-22/10:40:00	14.764	-1.708	1.173	4.46
2015-10-22/12:00:00	2015-10-22/12:10:00	7.189	3.538	0.383	2.998
2015-10-23/18:30:00	2015-10-23/18:40:00	30.966	0.695	3.147	5.245
2015-10-26/17:10:00	2015-10-26/17:20:00	35.646	-5.413	0.687	0.948
2015-10-29/01:55:00	2015-10-29/02:05:00	26.616	-3.932	1.817	3.622
2015-10-29/02:45:00	2015-10-29/02:55:00	17.346	-3.432	1.163	3.732
2015-10-29/03:15:00	2015-10-29/03:25:00	34.29	-2.755	2.377	3.485
2015-10-29/05:35:00	2015-10-29/05:45:00	37.053	-5.147	2.492	3.368
2015-11-06/10:30:00	2015-11-06/10:40:00	36.004	-5.827	1.505	2.112
2015-11-19/13:55:00	2015-11-19/14:05:00	38.612	3.728	2.017	2.535
2015-11-26/08:10:00	2015-11-26/08:20:00	16.427	-2.26	0.58	1.967
2015-12-09/05:30:00	2015-12-09/05:40:00	15.112	-1.227	1.232	4.602
2015-12-09/06:15:00	2015-12-09/06:25:00	16.661	0.302	1.563	5.207
2015-12-09/06:45:00	2015-12-09/06:55:00	22.3	-0.21	2.107	5.138
2015-12-09/07:25:00	2015-12-09/07:35:00	27.129	-1.143	2.128	4.183
2015-12-09/08:40:00	2015-12-09/08:50:00	38.783	-4.043	2.513	3.117
2015-12-09/21:35:00	2015-12-09/21:45:00	25.572	0.093	2.363	5.048
2015-12-09/22:15:00	2015-12-09/22:25:00	31.45	-0.842	3.215	5.202
2015-12-11/22:55:00	2015-12-11/23:05:00	30.669	-2.32	2.293	3.853
2015-12-12/00:40:00	2015-12-12/00:50:00	40.612	-2.255	2.463	2.943
2015-12-24/08:45:00	2015-12-24/08:55:00	26.65	5.178	2.55	4.807
2015-12-24/09:15:00	2015-12-24/09:25:00	25.201	4.187	3.06	6.377
2015-12-25/00:00:00	2015-12-25/00:10:00	13.685	4.483	1.51	5.858
2015-12-25/01:05:00	2015-12-25/01:15:00	34.626	2.105	3.65	5.247
2015-12-30/01:15:00	2015-12-30/01:25:00	30.775	-4.26	1.16	1.988
2016-01-03/01:40:00	2016-01-03/01:50:00	40.77	-6.492	2.475	2.905
2016-01-04/21:30:00	2016-01-04/21:40:00	9.925	-4.083	0.558	3.09
2016-01-05/02:20:00	2016-01-05/02:30:00	21.421	-5.178	1.623	4.193
2016-01-05/07:10:00	2016-01-05/07:20:00	17.067	-2.377	1.647	5.383
2016-01-05/10:25:00	2016-01-05/10:35:00	41.131	-5.797	5.158	5.908
2016-01-09/22:55:00	2016-01-09/23:05:00	36.835	1.508	4.095	5.462
2016-01-18/03:40:00	2016-01-18/03:50:00	30.082	-3.21	0.823	1.375
2016-01-18/04:15:00	2016-01-18/04:25:00	16.231	-3.443	0.573	1.885
2016-01-19/09:10:00	2016-01-19/09:20:00	25.487	0.387	3.86	8.117
2016-01-23/08:40:00	2016-01-23/08:50:00	13.241	5.088	0.563	2.282
2016-01-26/06:15:00	2016-01-26/06:25:00	24.896	3.467	1.072	2.322
