Start_trang	End_trang	Clang_avg	Bx_avg(nT)
2015-11-21/12:45:00	2015-11-21/12:55:00	279.379	-2.223
2015-11-21/13:15:00	2015-11-21/13:25:00	276.915	-1.623
2015-11-21/14:45:00	2015-11-21/14:55:00	295.509	-0.537
2015-11-21/15:15:00	2015-11-21/15:25:00	314.438	-0.965
2015-11-21/16:00:00	2015-11-21/16:10:00	289.755	0.267
2015-11-21/16:30:00	2015-11-21/16:40:00	301.583	-1.512
2015-11-21/23:55:00	2015-11-22/00:05:00	298.486	2.877
2015-11-22/04:25:00	2015-11-22/04:35:00	284.379	-1.327
2015-11-22/05:25:00	2015-11-22/05:35:00	227.617	1.635
2015-11-22/06:25:00	2015-11-22/06:35:00	298.356	-1.178
2015-11-22/08:20:00	2015-11-22/08:30:00	297.209	0.05
2015-11-22/08:50:00	2015-11-22/09:00:00	298.702	-0.937
2015-11-22/09:40:00	2015-11-22/09:50:00	312.842	-1.882
2015-11-22/10:10:00	2015-11-22/10:20:00	286.883	-2.308
2015-11-22/10:55:00	2015-11-22/11:05:00	291.266	-0.167
2015-11-22/12:20:00	2015-11-22/12:30:00	278.942	-0.495
2015-11-22/12:50:00	2015-11-22/13:00:00	290.201	-0.638
2015-11-22/13:20:00	2015-11-22/13:30:00	264.613	-0.672
2015-11-22/16:10:00	2015-11-22/16:20:00	251.435	-0.237
2015-11-23/03:25:00	2015-11-23/03:35:00	234.092	-0.125
2015-11-23/04:20:00	2015-11-23/04:30:00	240.107	-0.35
2015-11-23/12:10:00	2015-11-23/12:20:00	298.083	1.992
2015-11-23/13:45:00	2015-11-23/13:55:00	254.235	0.088
2015-11-23/16:10:00	2015-11-23/16:20:00	312.748	2.73
2015-11-24/08:45:00	2015-11-24/08:55:00	259.786	3.162
2015-11-24/09:15:00	2015-11-24/09:25:00	249.228	3.428
2015-11-24/09:45:00	2015-11-24/09:55:00	253.081	3.54
2015-11-24/10:15:00	2015-11-24/10:25:00	258.965	3.408
2015-11-24/10:45:00	2015-11-24/10:55:00	268.539	3.29
2015-11-24/11:15:00	2015-11-24/11:25:00	240.969	3.375
2015-11-24/12:00:00	2015-11-24/12:10:00	278.425	3.435
2015-11-24/12:40:00	2015-11-24/12:50:00	272.674	3.142
2015-11-24/13:10:00	2015-11-24/13:20:00	240.251	3.632
2015-11-24/15:05:00	2015-11-24/15:15:00	280.162	3.52
2015-11-24/22:55:00	2015-11-24/23:05:00	267.268	3.085
2015-11-24/23:25:00	2015-11-24/23:35:00	264.548	3.017
2015-11-25/00:15:00	2015-11-25/00:25:00	305.864	3.237
2015-11-25/00:45:00	2015-11-25/00:55:00	301.262	3.043
2015-11-25/01:15:00	2015-11-25/01:25:00	295.004	2.975
2015-11-25/01:45:00	2015-11-25/01:55:00	300.187	2.908
2015-11-25/02:15:00	2015-11-25/02:25:00	288.156	2.755
2015-11-25/02:45:00	2015-11-25/02:55:00	284.114	2.462
2015-11-25/03:15:00	2015-11-25/03:25:00	287.606	2.452
2015-11-25/03:45:00	2015-11-25/03:55:00	294.217	2.362
2015-11-25/04:15:00	2015-11-25/04:25:00	297.184	2.1
2015-11-25/05:10:00	2015-11-25/05:20:00	293.89	1.488
2015-11-25/05:45:00	2015-11-25/05:55:00	294.853	1.843
2015-11-25/07:05:00	2015-11-25/07:15:00	297.226	1.132
2015-11-25/07:40:00	2015-11-25/07:50:00	306.683	1.868
2015-11-25/08:10:00	2015-11-25/08:20:00	307.523	2.008
2015-11-25/10:40:00	2015-11-25/10:50:00	313.296	0.303
2015-11-25/11:20:00	2015-11-25/11:30:00	311.0	0.085
2015-11-25/15:40:00	2015-11-25/15:50:00	313.476	-0.645
2015-11-26/01:10:00	2015-11-26/01:20:00	308.453	-0.487
2015-11-26/06:10:00	2015-11-26/06:20:00	310.094	-1.567
2015-11-26/08:50:00	2015-11-26/09:00:00	302.155	-3.257
2015-11-27/12:35:00	2015-11-27/12:45:00	283.444	7.587
2015-11-29/12:00:00	2015-11-29/12:10:00	307.958	4.122
2015-11-29/13:40:00	2015-11-29/13:50:00	271.338	0.292
2015-12-01/13:25:00	2015-12-01/13:35:00	312.906	-5.122
2015-12-08/05:45:00	2015-12-08/05:55:00	239.185	-4.247
2015-12-08/06:30:00	2015-12-08/06:40:00	274.906	-4.413
2015-12-15/05:20:00	2015-12-15/05:30:00	300.56	6.165
2015-12-15/06:05:00	2015-12-15/06:15:00	287.022	5.088
2015-12-15/08:45:00	2015-12-15/08:55:00	293.299	2.283
2015-12-15/10:40:00	2015-12-15/10:50:00	250.886	3.118
2015-12-15/13:15:00	2015-12-15/13:25:00	242.96	4.167
2015-12-15/13:45:00	2015-12-15/13:55:00	263.491	3.202
2015-12-16/20:45:00	2015-12-16/20:55:00	282.713	2.883
2015-12-16/21:15:00	2015-12-16/21:25:00	283.418	3.242
2015-12-17/00:05:00	2015-12-17/00:15:00	293.537	2.6
2015-12-17/00:35:00	2015-12-17/00:45:00	292.485	1.447
2015-12-17/04:00:00	2015-12-17/04:10:00	299.52	3.138
2015-12-17/07:40:00	2015-12-17/07:50:00	271.309	4.485
2015-12-17/08:10:00	2015-12-17/08:20:00	292.026	3.547
2015-12-18/01:30:00	2015-12-18/01:40:00	254.22	2.133
2015-12-18/04:05:00	2015-12-18/04:15:00	245.67	1.707
2015-12-18/23:15:00	2015-12-18/23:25:00	270.898	-0.845
2015-12-19/05:30:00	2015-12-19/05:40:00	244.414	1.9
2015-12-19/06:00:00	2015-12-19/06:10:00	258.935	2.105
2015-12-19/06:40:00	2015-12-19/06:50:00	227.472	2.335
2015-12-21/23:15:00	2015-12-21/23:25:00	255.235	6.983
2015-12-22/05:15:00	2015-12-22/05:25:00	269.958	0.112
2015-12-22/21:15:00	2015-12-22/21:25:00	239.034	0.183
2015-12-22/21:55:00	2015-12-22/22:05:00	227.736	-0.817
2015-12-23/02:05:00	2015-12-23/02:15:00	310.007	4.972
2015-12-23/06:00:00	2015-12-23/06:10:00	269.73	-1.127
2015-12-23/06:30:00	2015-12-23/06:40:00	277.962	-0.368
2015-12-23/07:15:00	2015-12-23/07:25:00	269.134	1.788
2015-12-23/08:00:00	2015-12-23/08:10:00	270.062	1.323
2015-12-23/09:15:00	2015-12-23/09:25:00	285.121	2.712
2015-12-23/09:45:00	2015-12-23/09:55:00	286.349	0.292
2015-12-23/10:30:00	2015-12-23/10:40:00	288.836	-0.63
2015-12-23/11:00:00	2015-12-23/11:10:00	278.828	0.145
2015-12-23/13:00:00	2015-12-23/13:10:00	275.18	0.68
2015-12-23/19:35:00	2015-12-23/19:45:00	266.158	1.447
2015-12-23/20:25:00	2015-12-23/20:35:00	270.375	3.108
2015-12-23/20:55:00	2015-12-23/21:05:00	282.133	1.323
2015-12-23/21:40:00	2015-12-23/21:50:00	250.092	-1.082
2015-12-23/23:40:00	2015-12-23/23:50:00	256.536	1.648
2015-12-24/05:50:00	2015-12-24/06:00:00	252.348	3.57
2015-12-24/21:10:00	2015-12-24/21:20:00	235.551	1.382
2015-12-24/22:00:00	2015-12-24/22:10:00	284.07	2.578
2015-12-24/22:30:00	2015-12-24/22:40:00	232.123	5.225
2015-12-25/21:20:00	2015-12-25/21:30:00	305.098	4.253
2015-12-25/23:40:00	2015-12-25/23:50:00	281.226	3.825
2015-12-26/07:50:00	2015-12-26/08:00:00	271.724	0.418
2015-12-26/12:05:00	2015-12-26/12:15:00	303.547	3.927
2015-12-26/22:50:00	2015-12-26/23:00:00	257.254	4.927
2015-12-27/00:45:00	2015-12-27/00:55:00	264.1	5.685
2015-12-27/01:15:00	2015-12-27/01:25:00	279.167	4.987
2015-12-27/01:45:00	2015-12-27/01:55:00	260.894	4.902
2015-12-27/03:30:00	2015-12-27/03:40:00	296.487	6.028
2015-12-27/05:05:00	2015-12-27/05:15:00	244.066	3.622
2015-12-27/09:10:00	2015-12-27/09:20:00	235.287	2.907
2015-12-27/09:45:00	2015-12-27/09:55:00	237.436	4.562
2015-12-27/10:15:00	2015-12-27/10:25:00	230.898	4.033
2015-12-27/10:50:00	2015-12-27/11:00:00	265.226	4.968
2015-12-27/11:20:00	2015-12-27/11:30:00	255.354	4.378
2015-12-27/12:25:00	2015-12-27/12:35:00	265.427	2.03
2016-01-01/20:45:00	2016-01-01/20:55:00	254.828	4.218
2016-01-01/23:20:00	2016-01-01/23:30:00	275.331	4.775
2016-01-02/01:30:00	2016-01-02/01:40:00	266.497	5.72
2016-01-02/06:10:00	2016-01-02/06:20:00	268.064	4.787
2016-01-02/07:05:00	2016-01-02/07:15:00	239.477	4.532
2016-01-04/18:35:00	2016-01-04/18:45:00	263.31	-3.645
2016-01-04/19:05:00	2016-01-04/19:15:00	250.357	-4.077
2016-01-08/07:30:00	2016-01-08/07:40:00	225.129	-3.388
2016-01-13/01:05:00	2016-01-13/01:15:00	230.035	2.065
2016-01-13/02:25:00	2016-01-13/02:35:00	257.789	0.015
2016-01-13/07:35:00	2016-01-13/07:45:00	243.349	0.628
2016-01-13/08:35:00	2016-01-13/08:45:00	268.631	1.753
2016-01-13/18:15:00	2016-01-13/18:25:00	310.881	3.68
2016-01-13/19:50:00	2016-01-13/20:00:00	299.445	4.272
2016-01-14/01:10:00	2016-01-14/01:20:00	311.48	4.502
2016-01-14/06:15:00	2016-01-14/06:25:00	262.364	4.098
2016-01-14/07:30:00	2016-01-14/07:40:00	237.886	2.065
2016-01-14/08:15:00	2016-01-14/08:25:00	236.038	-0.79
2016-01-15/08:20:00	2016-01-15/08:30:00	237.208	1.272
2016-01-15/17:10:00	2016-01-15/17:20:00	239.95	1.71
2016-01-16/01:20:00	2016-01-16/01:30:00	307.522	3.465
2016-01-16/05:10:00	2016-01-16/05:20:00	250.627	0.398
2016-01-16/05:40:00	2016-01-16/05:50:00	265.463	0.662
2016-01-16/06:10:00	2016-01-16/06:20:00	263.724	0.355
2016-01-16/06:40:00	2016-01-16/06:50:00	261.834	1.098
2016-01-16/07:10:00	2016-01-16/07:20:00	254.617	0.768
2016-01-16/07:40:00	2016-01-16/07:50:00	255.983	-0.29
2016-01-16/08:10:00	2016-01-16/08:20:00	283.168	1.268
2016-01-16/08:40:00	2016-01-16/08:50:00	268.793	-0.632
2016-01-16/10:15:00	2016-01-16/10:25:00	271.941	-1.47
2016-01-16/20:45:00	2016-01-16/20:55:00	306.206	-2.793
2016-01-17/10:10:00	2016-01-17/10:20:00	287.429	-2.228
2016-01-17/22:30:00	2016-01-17/22:40:00	313.4	-3.147
2016-01-19/02:35:00	2016-01-19/02:45:00	226.934	1.29
2016-01-21/18:25:00	2016-01-21/18:35:00	265.905	3.33
2016-01-21/20:00:00	2016-01-21/20:10:00	299.018	5.573
2016-01-22/00:50:00	2016-01-22/01:00:00	306.72	3.57
2016-01-22/05:40:00	2016-01-22/05:50:00	242.555	-1.092
2016-01-22/21:50:00	2016-01-22/22:00:00	252.992	4.013
2016-01-23/03:40:00	2016-01-23/03:50:00	235.691	3.5
2016-01-23/04:10:00	2016-01-23/04:20:00	229.482	2.64
2016-01-23/17:20:00	2016-01-23/17:30:00	225.495	2.323
2016-01-23/21:15:00	2016-01-23/21:25:00	243.397	3.398
2016-01-23/21:45:00	2016-01-23/21:55:00	245.52	3.902
2016-01-24/00:55:00	2016-01-24/01:05:00	228.452	2.207
2016-01-24/01:25:00	2016-01-24/01:35:00	237.242	2.208
2016-01-24/02:10:00	2016-01-24/02:20:00	230.117	0.928
2016-01-24/02:40:00	2016-01-24/02:50:00	243.86	2.255
2016-01-24/05:30:00	2016-01-24/05:40:00	264.681	1.097
2016-01-24/06:00:00	2016-01-24/06:10:00	249.8	-2.275
2016-01-24/07:15:00	2016-01-24/07:25:00	282.499	1.568
2016-01-25/00:45:00	2016-01-25/00:55:00	305.038	3.947
2016-01-25/01:15:00	2016-01-25/01:25:00	249.759	4.065
2016-01-26/22:35:00	2016-01-26/22:45:00	268.947	-2.168
2016-01-26/23:05:00	2016-01-26/23:15:00	271.371	-1.202
2016-01-27/01:55:00	2016-01-27/02:05:00	255.099	3.627
2016-02-02/04:35:00	2016-02-02/04:45:00	250.856	0.033
2016-02-02/05:25:00	2016-02-02/05:35:00	261.05	-2.717
2016-02-02/06:00:00	2016-02-02/06:10:00	274.715	-2.1
2016-02-02/07:25:00	2016-02-02/07:35:00	283.623	0.27
2016-02-02/07:55:00	2016-02-02/08:05:00	281.394	-0.592
2016-02-02/20:10:00	2016-02-02/20:20:00	274.929	5.572
2016-02-02/20:50:00	2016-02-02/21:00:00	228.94	0.595
2016-02-06/00:45:00	2016-02-06/00:55:00	313.019	-1.117
2016-02-08/21:10:00	2016-02-08/21:20:00	299.021	4.143
2016-02-08/21:45:00	2016-02-08/21:55:00	276.376	3.707
2016-02-08/22:15:00	2016-02-08/22:25:00	296.691	2.707
2016-02-08/22:45:00	2016-02-08/22:55:00	304.499	2.347
2016-02-08/23:15:00	2016-02-08/23:25:00	314.022	2.667
2016-02-09/03:45:00	2016-02-09/03:55:00	309.391	-0.742
2016-02-09/18:00:00	2016-02-09/18:10:00	275.42	0.638
2016-02-09/18:35:00	2016-02-09/18:45:00	273.756	-1.772
2016-02-09/19:30:00	2016-02-09/19:40:00	282.558	0.22
2016-02-09/21:20:00	2016-02-09/21:30:00	235.01	1.748
2016-02-09/23:25:00	2016-02-09/23:35:00	259.407	3.387
2016-02-09/23:55:00	2016-02-10/00:05:00	252.27	2.992
2016-02-10/00:25:00	2016-02-10/00:35:00	235.509	4.077
2016-02-10/01:05:00	2016-02-10/01:15:00	255.04	3.148
2016-02-10/01:35:00	2016-02-10/01:45:00	241.046	3.355
2016-02-10/03:15:00	2016-02-10/03:25:00	248.056	2.443
2016-02-10/03:45:00	2016-02-10/03:55:00	235.785	2.415
2016-02-10/04:20:00	2016-02-10/04:30:00	239.398	2.02
2016-02-10/05:45:00	2016-02-10/05:55:00	235.601	2.262
2016-02-10/06:15:00	2016-02-10/06:25:00	234.157	2.77
2016-02-10/06:45:00	2016-02-10/06:55:00	231.283	2.62
2016-02-10/07:15:00	2016-02-10/07:25:00	227.566	2.808
2016-02-10/13:55:00	2016-02-10/14:05:00	228.447	3.77
2016-02-10/14:25:00	2016-02-10/14:35:00	232.284	3.82
2016-02-10/15:00:00	2016-02-10/15:10:00	225.892	3.97
2016-02-10/15:30:00	2016-02-10/15:40:00	226.884	3.96
2016-02-10/16:00:00	2016-02-10/16:10:00	228.724	4.005
2016-02-10/16:50:00	2016-02-10/17:00:00	234.545	3.84
2016-02-10/17:20:00	2016-02-10/17:30:00	229.515	3.695
2016-02-10/17:50:00	2016-02-10/18:00:00	234.497	3.373
2016-02-10/18:20:00	2016-02-10/18:30:00	234.954	3.063
2016-02-11/15:55:00	2016-02-11/16:05:00	252.624	2.485
2016-02-14/03:55:00	2016-02-14/04:05:00	281.996	-2.907
2016-02-16/03:20:00	2016-02-16/03:30:00	259.529	7.203
2016-02-16/03:50:00	2016-02-16/04:00:00	261.764	7.12
2016-02-16/04:20:00	2016-02-16/04:30:00	250.376	8.327
2016-02-16/17:25:00	2016-02-16/17:35:00	268.772	4.838
2016-02-16/21:00:00	2016-02-16/21:10:00	234.881	2.965
2016-02-16/22:00:00	2016-02-16/22:10:00	261.55	0.473
2016-02-17/00:20:00	2016-02-17/00:30:00	242.203	4.483
2016-02-17/13:50:00	2016-02-17/14:00:00	255.909	3.258
2016-02-17/20:45:00	2016-02-17/20:55:00	227.15	4.872
2016-02-18/14:55:00	2016-02-18/15:05:00	243.689	4.338
2016-02-18/18:55:00	2016-02-18/19:05:00	265.073	3.495
2016-02-19/00:05:00	2016-02-19/00:15:00	280.27	2.038
2016-02-19/13:35:00	2016-02-19/13:45:00	245.331	-0.928
2016-02-20/03:25:00	2016-02-20/03:35:00	235.191	3.802
2016-02-20/14:00:00	2016-02-20/14:10:00	264.808	2.152
2016-02-20/14:30:00	2016-02-20/14:40:00	268.664	1.427
2016-02-20/15:00:00	2016-02-20/15:10:00	265.121	1.045
2016-02-20/15:30:00	2016-02-20/15:40:00	254.23	0.872
2016-02-20/16:00:00	2016-02-20/16:10:00	249.147	0.585
2016-02-20/16:30:00	2016-02-20/16:40:00	260.86	1.557
2016-02-20/17:00:00	2016-02-20/17:10:00	273.2	2.213
2016-02-20/17:30:00	2016-02-20/17:40:00	267.744	2.61
2016-02-20/18:40:00	2016-02-20/18:50:00	257.763	2.323
