Start_trang	End_trang	Clang_avg	Bx_avg(nT)
2018-10-30/12:05:00	2018-10-30/12:15:00	290.98	-0.278
2018-10-30/12:55:00	2018-10-30/13:05:00	283.343	-3.283
2018-10-30/13:25:00	2018-10-30/13:35:00	308.16	-1.865
2018-10-31/12:15:00	2018-10-31/12:25:00	294.979	1.87
2018-11-01/02:35:00	2018-11-01/02:45:00	269.288	2.843
2018-11-01/03:05:00	2018-11-01/03:15:00	272.15	3.19
2018-11-01/03:45:00	2018-11-01/03:55:00	284.455	3.42
2018-11-02/11:50:00	2018-11-02/12:00:00	269.748	0.982
2018-11-03/10:25:00	2018-11-03/10:35:00	246.05	-3.108
2018-11-03/11:25:00	2018-11-03/11:35:00	308.986	0.535
2018-11-03/11:55:00	2018-11-03/12:05:00	313.34	0.64
2018-11-03/12:25:00	2018-11-03/12:35:00	312.482	-1.07
2018-11-03/13:15:00	2018-11-03/13:25:00	303.498	-0.787
2018-11-03/15:20:00	2018-11-03/15:30:00	304.3	-0.46
2018-11-03/17:00:00	2018-11-03/17:10:00	284.098	-3.355
2018-11-03/17:30:00	2018-11-03/17:40:00	263.227	-4.127
2018-11-03/18:00:00	2018-11-03/18:10:00	272.717	-1.903
2018-11-03/18:30:00	2018-11-03/18:40:00	278.284	-0.747
2018-11-03/19:00:00	2018-11-03/19:10:00	277.652	-0.972
2018-11-03/19:30:00	2018-11-03/19:40:00	279.464	-1.338
2018-11-03/20:00:00	2018-11-03/20:10:00	280.191	-1.358
2018-11-03/23:45:00	2018-11-03/23:55:00	311.625	-0.965
2018-11-04/01:45:00	2018-11-04/01:55:00	299.758	-1.95
2018-11-04/02:20:00	2018-11-04/02:30:00	304.305	-1.948
2018-11-04/03:05:00	2018-11-04/03:15:00	268.193	-1.145
2018-11-04/03:55:00	2018-11-04/04:05:00	308.668	-1.842
2018-11-07/13:10:00	2018-11-07/13:20:00	243.658	-3.38
2018-11-07/15:05:00	2018-11-07/15:15:00	304.375	-0.812
2018-11-07/16:05:00	2018-11-07/16:15:00	287.032	0.168
2018-11-07/16:35:00	2018-11-07/16:45:00	290.354	-0.238
2018-11-07/17:05:00	2018-11-07/17:15:00	303.621	-1.285
2018-11-07/17:35:00	2018-11-07/17:45:00	300.593	-2.725
2018-11-09/13:05:00	2018-11-09/13:15:00	227.628	3.205
2018-11-09/13:35:00	2018-11-09/13:45:00	228.328	3.202
2018-11-09/14:05:00	2018-11-09/14:15:00	231.612	2.933
2018-11-09/15:00:00	2018-11-09/15:10:00	249.586	4.168
2018-11-10/14:40:00	2018-11-10/14:50:00	300.909	5.042
2018-11-10/15:10:00	2018-11-10/15:20:00	296.909	4.962
2018-11-10/16:15:00	2018-11-10/16:25:00	289.858	5.382
2018-11-10/16:45:00	2018-11-10/16:55:00	291.887	5.242
2018-11-10/22:10:00	2018-11-10/22:20:00	247.044	-1.788
2018-11-11/17:35:00	2018-11-11/17:45:00	304.182	2.832
2018-11-13/04:40:00	2018-11-13/04:50:00	271.02	2.472
2018-11-13/05:15:00	2018-11-13/05:25:00	272.117	2.587
2018-11-13/12:15:00	2018-11-13/12:25:00	257.991	2.823
2018-11-13/12:45:00	2018-11-13/12:55:00	256.251	2.862
2018-11-13/13:45:00	2018-11-13/13:55:00	288.19	2.735
2018-11-14/15:35:00	2018-11-14/15:45:00	300.984	-0.565
2018-11-14/16:05:00	2018-11-14/16:15:00	291.623	-0.095
2018-11-14/16:35:00	2018-11-14/16:45:00	298.608	-1.117
2018-11-15/03:20:00	2018-11-15/03:30:00	251.616	2.818
2018-11-15/04:15:00	2018-11-15/04:25:00	313.438	2.55
2018-11-15/04:45:00	2018-11-15/04:55:00	307.107	2.657
2018-11-15/06:15:00	2018-11-15/06:25:00	313.533	2.035
2018-11-15/08:10:00	2018-11-15/08:20:00	297.521	2.963
2018-11-15/08:40:00	2018-11-15/08:50:00	288.849	3.172
2018-11-15/19:25:00	2018-11-15/19:35:00	307.069	-3.52
2018-11-15/20:45:00	2018-11-15/20:55:00	248.833	-3.923
2018-11-15/22:20:00	2018-11-15/22:30:00	313.793	-2.96
2018-11-15/23:35:00	2018-11-15/23:45:00	260.66	-2.823
2018-11-16/01:30:00	2018-11-16/01:40:00	309.745	2.047
2018-11-16/02:15:00	2018-11-16/02:25:00	288.669	0.888
2018-11-16/02:45:00	2018-11-16/02:55:00	280.827	-0.168
2018-11-16/12:35:00	2018-11-16/12:45:00	288.365	1.462
2018-11-17/10:20:00	2018-11-17/10:30:00	279.798	-3.622
2018-11-17/10:50:00	2018-11-17/11:00:00	285.334	-2.81
2018-11-17/11:20:00	2018-11-17/11:30:00	299.988	-2.393
2018-11-17/11:50:00	2018-11-17/12:00:00	310.239	-1.617
2018-11-17/15:15:00	2018-11-17/15:25:00	297.871	0.688
2018-11-17/15:55:00	2018-11-17/16:05:00	292.8	0.003
2018-11-17/16:25:00	2018-11-17/16:35:00	266.303	-0.013
2018-11-17/16:55:00	2018-11-17/17:05:00	260.798	0.237
2018-11-17/17:25:00	2018-11-17/17:35:00	270.931	0.753
2018-11-17/17:55:00	2018-11-17/18:05:00	261.186	-0.13
2018-11-17/18:25:00	2018-11-17/18:35:00	262.124	-0.802
2018-11-17/19:10:00	2018-11-17/19:20:00	257.743	-0.223
2018-11-17/19:40:00	2018-11-17/19:50:00	263.771	0.063
2018-11-17/20:10:00	2018-11-17/20:20:00	274.283	0.977
2018-11-17/20:40:00	2018-11-17/20:50:00	278.356	0.888
2018-11-17/21:10:00	2018-11-17/21:20:00	289.97	0.357
2018-11-17/21:40:00	2018-11-17/21:50:00	281.585	-0.412
2018-11-17/22:10:00	2018-11-17/22:20:00	272.868	-0.372
2018-11-17/22:40:00	2018-11-17/22:50:00	276.341	-0.292
2018-11-17/23:45:00	2018-11-17/23:55:00	258.143	-0.695
2018-11-18/01:55:00	2018-11-18/02:05:00	228.194	1.055
2018-11-18/02:35:00	2018-11-18/02:45:00	227.777	1.107
2018-11-18/03:05:00	2018-11-18/03:15:00	261.095	2.092
2018-11-18/03:35:00	2018-11-18/03:45:00	253.784	2.573
2018-11-18/04:25:00	2018-11-18/04:35:00	314.319	2.587
2018-11-18/05:50:00	2018-11-18/06:00:00	246.758	-1.79
2018-11-18/11:20:00	2018-11-18/11:30:00	278.068	0.578
2018-11-18/12:35:00	2018-11-18/12:45:00	260.493	-0.947
2018-11-18/13:05:00	2018-11-18/13:15:00	266.43	-0.793
2018-11-18/13:35:00	2018-11-18/13:45:00	286.475	-0.337
2018-11-18/14:20:00	2018-11-18/14:30:00	286.258	-0.212
2018-11-18/15:50:00	2018-11-18/16:00:00	276.944	-1.898
2018-11-18/16:20:00	2018-11-18/16:30:00	289.024	-1.702
2018-11-18/16:50:00	2018-11-18/17:00:00	291.042	-1.417
2018-11-19/02:20:00	2018-11-19/02:30:00	244.33	-0.008
2018-11-19/03:00:00	2018-11-19/03:10:00	228.715	1.987
2018-11-19/03:30:00	2018-11-19/03:40:00	245.204	1.067
2018-11-19/04:00:00	2018-11-19/04:10:00	254.879	-0.287
2018-11-20/11:35:00	2018-11-20/11:45:00	278.911	0.015
2018-11-20/12:15:00	2018-11-20/12:25:00	302.819	-0.923
2018-11-20/12:45:00	2018-11-20/12:55:00	314.179	-1.433
2018-11-20/13:15:00	2018-11-20/13:25:00	309.251	-1.888
2018-11-20/15:30:00	2018-11-20/15:40:00	301.328	2.983
2018-11-20/16:00:00	2018-11-20/16:10:00	295.077	3.007
2018-11-20/16:30:00	2018-11-20/16:40:00	297.0	2.682
2018-11-20/22:35:00	2018-11-20/22:45:00	296.96	4.88
2018-11-20/23:05:00	2018-11-20/23:15:00	295.577	4.505
2018-11-20/23:35:00	2018-11-20/23:45:00	304.777	5.092
2018-11-21/00:05:00	2018-11-21/00:15:00	307.809	5.313
2018-11-21/00:55:00	2018-11-21/01:05:00	258.614	-0.018
2018-11-21/07:45:00	2018-11-21/07:55:00	263.569	-3.092
2018-11-21/15:25:00	2018-11-21/15:35:00	273.779	4.258
2018-11-21/20:40:00	2018-11-21/20:50:00	284.629	2.332
2018-11-21/21:10:00	2018-11-21/21:20:00	265.363	1.553
2018-11-21/22:15:00	2018-11-21/22:25:00	260.316	0.803
2018-11-21/22:45:00	2018-11-21/22:55:00	255.38	2.222
2018-11-21/23:15:00	2018-11-21/23:25:00	229.996	2.425
2018-11-21/23:45:00	2018-11-21/23:55:00	230.869	2.192
2018-11-22/00:15:00	2018-11-22/00:25:00	239.792	2.248
2018-11-22/00:45:00	2018-11-22/00:55:00	243.914	2.718
2018-11-22/23:15:00	2018-11-22/23:25:00	260.824	-2.537
2018-11-23/01:00:00	2018-11-23/01:10:00	267.245	3.163
2018-11-23/01:30:00	2018-11-23/01:40:00	257.287	0.37
2018-11-23/02:55:00	2018-11-23/03:05:00	265.662	0.412
2018-11-23/03:35:00	2018-11-23/03:45:00	262.488	0.252
2018-11-23/04:05:00	2018-11-23/04:15:00	266.059	1.957
2018-11-23/04:35:00	2018-11-23/04:45:00	261.668	2.667
2018-11-23/05:10:00	2018-11-23/05:20:00	272.409	2.538
2018-11-23/12:05:00	2018-11-23/12:15:00	287.582	0.87
2018-11-23/14:05:00	2018-11-23/14:15:00	306.628	1.282
2018-11-23/18:30:00	2018-11-23/18:40:00	310.201	1.115
2018-11-23/19:00:00	2018-11-23/19:10:00	292.212	-0.798
2018-11-24/02:30:00	2018-11-24/02:40:00	283.899	1.418
2018-11-24/11:25:00	2018-11-24/11:35:00	292.249	0.398
2018-11-24/14:05:00	2018-11-24/14:15:00	258.761	-0.197
2018-11-24/15:00:00	2018-11-24/15:10:00	264.028	-0.945
2018-11-24/16:10:00	2018-11-24/16:20:00	283.075	0.322
2018-11-24/16:40:00	2018-11-24/16:50:00	287.136	-0.402
2018-11-24/17:30:00	2018-11-24/17:40:00	296.568	-2.058
2018-11-24/18:00:00	2018-11-24/18:10:00	309.24	-2.125
2018-11-24/19:55:00	2018-11-24/20:05:00	270.658	1.817
2018-11-24/20:25:00	2018-11-24/20:35:00	276.566	1.575
2018-11-25/20:35:00	2018-11-25/20:45:00	238.317	-0.307
2018-11-25/22:45:00	2018-11-25/22:55:00	230.035	0.405
2018-11-25/23:15:00	2018-11-25/23:25:00	228.197	0.282
2018-11-26/00:45:00	2018-11-26/00:55:00	255.091	1.287
2018-11-26/01:15:00	2018-11-26/01:25:00	237.379	0.65
2018-11-26/02:20:00	2018-11-26/02:30:00	253.608	2.08
2018-11-26/03:55:00	2018-11-26/04:05:00	241.198	3.378
2018-11-26/05:20:00	2018-11-26/05:30:00	297.015	2.025
2018-11-26/08:35:00	2018-11-26/08:45:00	273.097	1.657
2018-11-26/13:40:00	2018-11-26/13:50:00	289.868	1.343
2018-11-26/14:10:00	2018-11-26/14:20:00	296.485	1.545
2018-11-26/14:40:00	2018-11-26/14:50:00	293.844	1.33
2018-11-26/23:25:00	2018-11-26/23:35:00	246.366	2.688
2018-11-27/01:30:00	2018-11-27/01:40:00	264.597	1.04
2018-11-27/02:00:00	2018-11-27/02:10:00	267.374	0.832
2018-11-27/02:30:00	2018-11-27/02:40:00	277.924	1.04
2018-11-27/03:15:00	2018-11-27/03:25:00	296.841	1.218
2018-11-27/03:45:00	2018-11-27/03:55:00	297.508	1.793
2018-11-27/08:10:00	2018-11-27/08:20:00	293.65	3.302
2018-11-27/16:15:00	2018-11-27/16:25:00	283.374	1.943
2018-11-27/17:55:00	2018-11-27/18:05:00	252.417	-0.618
2018-11-28/21:15:00	2018-11-28/21:25:00	271.283	1.202
2018-11-28/21:45:00	2018-11-28/21:55:00	247.981	2.522
2018-11-29/01:05:00	2018-11-29/01:15:00	273.321	2.668
2018-11-29/02:15:00	2018-11-29/02:25:00	292.501	1.04
2018-11-29/06:50:00	2018-11-29/07:00:00	229.314	-0.37
2018-11-29/10:40:00	2018-11-29/10:50:00	260.936	-2.135
2018-11-29/11:10:00	2018-11-29/11:20:00	260.237	-1.488
2018-11-29/22:15:00	2018-11-29/22:25:00	230.943	2.947
2018-11-30/02:30:00	2018-11-30/02:40:00	262.252	2.415
2018-11-30/13:40:00	2018-11-30/13:50:00	281.3	-0.73
2018-12-01/09:45:00	2018-12-01/09:55:00	305.059	2.578
2018-12-04/08:05:00	2018-12-04/08:15:00	266.647	-5.852
2018-12-04/08:40:00	2018-12-04/08:50:00	305.133	-5.737
2018-12-04/09:10:00	2018-12-04/09:20:00	300.525	-5.59
2018-12-04/12:00:00	2018-12-04/12:10:00	299.345	-5.395
2018-12-05/10:35:00	2018-12-05/10:45:00	257.448	-3.625
2018-12-05/11:10:00	2018-12-05/11:20:00	254.965	-3.677
2018-12-05/12:30:00	2018-12-05/12:40:00	251.216	-3.885
2018-12-07/05:00:00	2018-12-07/05:10:00	253.691	4.713
