Start_trang	End_trang	Clang_avg	Bx_avg(nT)
2016-11-04/23:15:00	2016-11-04/23:25:00	82.68	-3.368
2016-11-04/23:45:00	2016-11-04/23:55:00	76.379	-3.78
2016-11-05/06:40:00	2016-11-05/06:50:00	129.175	-4.343
2016-11-05/07:10:00	2016-11-05/07:20:00	111.642	-4.195
2016-11-05/07:40:00	2016-11-05/07:50:00	108.272	-4.093
2016-11-05/08:10:00	2016-11-05/08:20:00	89.08	-4.072
2016-11-05/08:55:00	2016-11-05/09:05:00	94.303	-2.758
2016-11-05/09:25:00	2016-11-05/09:35:00	96.972	-3.277
2016-11-05/22:25:00	2016-11-05/22:35:00	88.608	-1.197
2016-11-05/22:55:00	2016-11-05/23:05:00	96.839	-0.315
2016-11-06/14:15:00	2016-11-06/14:25:00	92.196	-3.328
2016-11-06/14:45:00	2016-11-06/14:55:00	93.24	-3.54
2016-11-06/15:20:00	2016-11-06/15:30:00	126.63	-3.567
2016-11-06/16:50:00	2016-11-06/17:00:00	113.122	-2.187
2016-11-06/17:20:00	2016-11-06/17:30:00	101.219	-1.373
2016-11-09/10:20:00	2016-11-09/10:30:00	133.254	-4.075
2016-11-15/12:15:00	2016-11-15/12:25:00	133.729	3.372
2016-11-20/06:10:00	2016-11-20/06:20:00	72.057	2.775
2016-11-20/06:40:00	2016-11-20/06:50:00	64.576	2.733
2016-11-20/15:40:00	2016-11-20/15:50:00	91.817	-1.003
2016-11-20/17:25:00	2016-11-20/17:35:00	51.36	-2.43
2016-11-20/21:55:00	2016-11-20/22:05:00	109.071	-1.978
2016-11-21/07:55:00	2016-11-21/08:05:00	115.014	-1.355
2016-11-21/08:35:00	2016-11-21/08:45:00	128.185	-1.992
2016-11-21/15:15:00	2016-11-21/15:25:00	67.827	-1.01
2016-11-21/15:45:00	2016-11-21/15:55:00	91.192	-2.652
2016-11-21/16:35:00	2016-11-21/16:45:00	124.991	-1.507
2016-11-21/18:00:00	2016-11-21/18:10:00	115.104	-2.545
2016-11-21/18:55:00	2016-11-21/19:05:00	128.605	-0.897
2016-11-21/19:30:00	2016-11-21/19:40:00	100.928	-2.625
2016-11-23/04:30:00	2016-11-23/04:40:00	105.346	-4.678
2016-11-23/05:00:00	2016-11-23/05:10:00	105.011	-5.123
2016-11-23/05:30:00	2016-11-23/05:40:00	105.558	-4.293
2016-11-24/04:50:00	2016-11-24/05:00:00	90.059	-5.615
2016-11-24/09:35:00	2016-11-24/09:45:00	102.0	-6.19
2016-11-24/10:05:00	2016-11-24/10:15:00	115.018	-5.635
2016-11-24/11:15:00	2016-11-24/11:25:00	127.68	-7.315
2016-11-24/12:00:00	2016-11-24/12:10:00	97.997	-5.883
2016-11-24/15:40:00	2016-11-24/15:50:00	85.944	-5.047
2016-11-24/16:10:00	2016-11-24/16:20:00	67.236	-5.243
2016-11-24/16:50:00	2016-11-24/17:00:00	57.892	-5.852
2016-11-24/17:25:00	2016-11-24/17:35:00	89.814	-6.468
2016-11-24/18:45:00	2016-11-24/18:55:00	79.12	-4.233
2016-11-24/20:55:00	2016-11-24/21:05:00	94.37	-1.448
2016-11-25/09:35:00	2016-11-25/09:45:00	97.703	-4.45
2016-11-25/10:55:00	2016-11-25/11:05:00	122.093	-3.13
2016-11-25/11:25:00	2016-11-25/11:35:00	131.435	-0.943
2016-11-25/12:00:00	2016-11-25/12:10:00	122.187	-3.642
2016-11-25/12:50:00	2016-11-25/13:00:00	104.631	-5.032
2016-11-25/13:20:00	2016-11-25/13:30:00	113.532	-3.292
2016-11-25/14:25:00	2016-11-25/14:35:00	94.781	-2.693
2016-11-25/15:30:00	2016-11-25/15:40:00	106.493	-2.452
2016-11-25/18:40:00	2016-11-25/18:50:00	113.717	-0.188
2016-11-25/21:10:00	2016-11-25/21:20:00	121.26	-3.943
2016-11-26/04:40:00	2016-11-26/04:50:00	102.476	-2.992
2016-11-26/05:25:00	2016-11-26/05:35:00	105.007	-2.06
2016-11-26/09:45:00	2016-11-26/09:55:00	100.943	-0.745
2016-11-26/14:50:00	2016-11-26/15:00:00	111.4	-2.873
2016-11-26/20:35:00	2016-11-26/20:45:00	81.305	-2.003
2016-11-27/04:20:00	2016-11-27/04:30:00	92.22	-1.007
2016-11-27/07:25:00	2016-11-27/07:35:00	99.828	-3.713
2016-11-27/08:05:00	2016-11-27/08:15:00	90.092	-3.712
2016-11-27/09:15:00	2016-11-27/09:25:00	104.204	-3.713
2016-11-27/09:55:00	2016-11-27/10:05:00	98.361	0.29
