Start_str	End_str	Clang_avg	Bx_avg(nT)
2015-11-06 07:55:00	2015-11-06 08:05:00	114.177	-4.84
2015-11-06 08:25:00	2015-11-06 08:35:00	109.951	-5.758
2015-11-06 09:20:00	2015-11-06 09:30:00	94.024	-5.332
2015-11-06 15:00:00	2015-11-06 15:10:00	53.86	-3.272
2015-11-06 15:55:00	2015-11-06 16:05:00	93.312	-5.257
2015-11-06 16:45:00	2015-11-06 16:55:00	87.239	-3.093
2015-11-06 17:15:00	2015-11-06 17:25:00	80.156	-5.555
2015-11-06 18:00:00	2015-11-06 18:10:00	50.088	-5.753
2015-11-07 02:25:00	2015-11-07 02:35:00	112.653	6.32
2015-11-09 03:35:00	2015-11-09 03:45:00	121.507	2.363
2015-11-10 02:50:00	2015-11-10 03:00:00	124.472	-8.023
2015-11-10 07:05:00	2015-11-10 07:15:00	127.367	-2.413
2015-11-13 00:50:00	2015-11-13 01:00:00	45.425	-1.048
2015-11-13 01:45:00	2015-11-13 01:55:00	127.72	-3.235
2015-11-13 04:35:00	2015-11-13 04:45:00	134.085	-3.02
2015-11-13 16:45:00	2015-11-13 16:55:00	72.666	-0.627
2015-11-14 01:20:00	2015-11-14 01:30:00	74.287	2.195
2015-11-14 03:25:00	2015-11-14 03:35:00	118.411	0.39
2015-11-14 03:55:00	2015-11-14 04:05:00	100.501	0.667
2015-11-14 04:55:00	2015-11-14 05:05:00	117.879	1.638
2015-11-14 06:55:00	2015-11-14 07:05:00	94.874	1.435
2015-11-14 10:25:00	2015-11-14 10:35:00	95.816	-1.73
2015-11-14 11:00:00	2015-11-14 11:10:00	122.855	-1.717
2015-11-14 15:50:00	2015-11-14 16:00:00	59.907	2.712
2015-11-14 16:25:00	2015-11-14 16:35:00	66.782	3.45
2015-11-15 00:05:00	2015-11-15 00:15:00	73.502	-0.962
2015-11-15 00:50:00	2015-11-15 01:00:00	92.293	-0.2
2015-11-15 01:20:00	2015-11-15 01:30:00	66.05	-0.373
2015-11-15 01:50:00	2015-11-15 02:00:00	58.006	0.007
2015-11-15 02:35:00	2015-11-15 02:45:00	60.045	-0.283
2015-11-15 03:30:00	2015-11-15 03:40:00	89.174	0.43
2015-11-15 04:00:00	2015-11-15 04:10:00	88.892	0.093
2015-11-15 04:30:00	2015-11-15 04:40:00	103.387	0.022
2015-11-15 05:30:00	2015-11-15 05:40:00	73.018	-4.003
2015-11-15 06:10:00	2015-11-15 06:20:00	75.238	-4.133
2015-11-15 06:55:00	2015-11-15 07:05:00	118.386	-3.123
2015-11-15 08:30:00	2015-11-15 08:40:00	74.386	1.908
2015-11-15 09:10:00	2015-11-15 09:20:00	99.891	1.797
2015-11-15 09:40:00	2015-11-15 09:50:00	80.962	1.347
2015-11-15 10:10:00	2015-11-15 10:20:00	96.211	-1.137
2015-11-15 10:40:00	2015-11-15 10:50:00	106.013	-2.355
2015-11-15 11:15:00	2015-11-15 11:25:00	96.143	0.923
2015-11-15 11:45:00	2015-11-15 11:55:00	86.101	0.748
2015-11-15 12:15:00	2015-11-15 12:25:00	82.51	-0.785
2015-11-15 12:45:00	2015-11-15 12:55:00	71.947	1.085
2015-11-15 13:15:00	2015-11-15 13:25:00	59.913	3.343
2015-11-15 17:05:00	2015-11-15 17:15:00	49.986	3.842
2015-11-16 06:25:00	2015-11-16 06:35:00	73.355	1.693
2015-11-16 06:55:00	2015-11-16 07:05:00	87.685	-0.325
2015-11-16 07:40:00	2015-11-16 07:50:00	132.204	0.1
2015-11-16 08:55:00	2015-11-16 09:05:00	113.765	-1.287
2015-11-16 09:25:00	2015-11-16 09:35:00	132.225	-2.795
2015-11-16 09:55:00	2015-11-16 10:05:00	120.654	-2.473
2015-11-16 10:35:00	2015-11-16 10:45:00	100.847	-2.432
2015-11-16 11:05:00	2015-11-16 11:15:00	117.597	-3.8
2015-11-16 11:35:00	2015-11-16 11:45:00	83.573	-0.048
2015-11-16 16:00:00	2015-11-16 16:10:00	106.595	-0.878
2015-11-16 16:55:00	2015-11-16 17:05:00	132.41	-2.238
2015-11-17 00:05:00	2015-11-17 00:15:00	54.635	-3.175
2015-11-17 02:05:00	2015-11-17 02:15:00	134.211	-2.84
2015-11-17 02:35:00	2015-11-17 02:45:00	116.4	-3.595
2015-11-17 03:05:00	2015-11-17 03:15:00	105.861	-3.917
2015-11-17 03:40:00	2015-11-17 03:50:00	114.044	-2.59
2015-11-17 04:50:00	2015-11-17 05:00:00	80.797	-2.825
2015-11-17 05:20:00	2015-11-17 05:30:00	79.748	-3.027
2015-11-17 05:50:00	2015-11-17 06:00:00	77.876	-2.408
2015-11-17 06:20:00	2015-11-17 06:30:00	80.232	-1.83
2015-11-17 06:50:00	2015-11-17 07:00:00	77.773	-1.038
2015-11-17 07:20:00	2015-11-17 07:30:00	68.578	0.05
2015-11-17 08:20:00	2015-11-17 08:30:00	131.977	-5.425
2015-11-17 09:15:00	2015-11-17 09:25:00	106.27	-4.497
2015-11-17 09:45:00	2015-11-17 09:55:00	100.07	-4.503
2015-11-17 10:45:00	2015-11-17 10:55:00	104.933	-4.577
2015-11-17 11:15:00	2015-11-17 11:25:00	106.286	-4.508
2015-11-17 12:30:00	2015-11-17 12:40:00	115.63	-5.095
2015-11-17 13:00:00	2015-11-17 13:10:00	124.502	-5.352
2015-11-17 13:30:00	2015-11-17 13:40:00	132.089	-5.465
2015-11-17 16:10:00	2015-11-17 16:20:00	109.711	-4.408
2015-11-17 16:40:00	2015-11-17 16:50:00	124.887	-4.517
2015-11-17 17:10:00	2015-11-17 17:20:00	132.491	-4.417
2015-11-19 04:45:00	2015-11-19 04:55:00	58.562	-1.835
2015-11-23 06:50:00	2015-11-23 07:00:00	69.626	3.073
2015-11-23 07:20:00	2015-11-23 07:30:00	64.231	2.87
2015-11-23 07:50:00	2015-11-23 08:00:00	61.637	2.95
