Start_trang	End_trang	Clang_avg	Bx_avg(nT)
2019-11-23/09:50:00	2019-11-23/10:00:00	114.758	-0.798
2019-11-23/10:20:00	2019-11-23/10:30:00	114.556	-1.823
2019-11-23/10:50:00	2019-11-23/11:00:00	114.659	-2.662
2019-11-23/11:20:00	2019-11-23/11:30:00	112.648	-2.847
2019-11-23/16:10:00	2019-11-23/16:20:00	80.169	0.56
2019-11-23/16:40:00	2019-11-23/16:50:00	73.997	0.065
2019-11-23/19:40:00	2019-11-23/19:50:00	117.399	-4.628
2019-11-23/20:40:00	2019-11-23/20:50:00	101.927	-4.162
2019-12-10/20:10:00	2019-12-10/20:20:00	52.111	3.812
2019-12-13/04:05:00	2019-12-13/04:15:00	62.434	1.923
2019-12-13/04:50:00	2019-12-13/05:00:00	102.68	0.407
2019-12-13/16:40:00	2019-12-13/16:50:00	127.79	-2.267
2019-12-14/05:20:00	2019-12-14/05:30:00	65.389	4.497
2019-12-14/05:50:00	2019-12-14/06:00:00	77.771	3.873
2019-12-14/06:30:00	2019-12-14/06:40:00	62.557	4.22
2019-12-14/07:00:00	2019-12-14/07:10:00	73.28	4.1
2019-12-14/07:30:00	2019-12-14/07:40:00	65.394	4.025
2019-12-20/16:10:00	2019-12-20/16:20:00	106.414	-1.508
2019-12-21/09:25:00	2019-12-21/09:35:00	86.364	0.787
2019-12-21/21:35:00	2019-12-21/21:45:00	82.3	-3.133
2019-12-21/22:05:00	2019-12-21/22:15:00	95.452	-3.102
2019-12-23/16:00:00	2019-12-23/16:10:00	90.327	0.712
2019-12-24/00:15:00	2019-12-24/00:25:00	67.176	1.672
2019-12-24/05:30:00	2019-12-24/05:40:00	65.836	0.29
2019-12-24/06:00:00	2019-12-24/06:10:00	79.106	1.338
2019-12-24/06:30:00	2019-12-24/06:40:00	104.546	2.64
2019-12-24/07:05:00	2019-12-24/07:15:00	126.394	2.763
2019-12-24/16:30:00	2019-12-24/16:40:00	120.36	-2.408
2019-12-24/17:45:00	2019-12-24/17:55:00	86.712	-2.897
2019-12-24/18:15:00	2019-12-24/18:25:00	82.427	-2.965
2019-12-24/18:55:00	2019-12-24/19:05:00	71.291	-3.127
2019-12-24/19:25:00	2019-12-24/19:35:00	73.976	-3.202
2019-12-24/20:45:00	2019-12-24/20:55:00	65.834	-3.072
2019-12-24/21:15:00	2019-12-24/21:25:00	65.134	-2.958
2019-12-24/21:45:00	2019-12-24/21:55:00	72.444	-2.703
2019-12-24/22:15:00	2019-12-24/22:25:00	75.575	-2.587
2019-12-24/22:45:00	2019-12-24/22:55:00	61.608	-2.162
2019-12-24/23:15:00	2019-12-24/23:25:00	67.51	-1.338
2019-12-24/23:50:00	2019-12-25/00:00:00	64.839	-0.865
2019-12-25/00:20:00	2019-12-25/00:30:00	70.522	-0.05
2019-12-25/00:50:00	2019-12-25/01:00:00	78.717	0.642
2019-12-25/01:20:00	2019-12-25/01:30:00	82.365	0.623
2019-12-25/03:10:00	2019-12-25/03:20:00	75.546	-2.423
2019-12-25/03:40:00	2019-12-25/03:50:00	73.869	-2.6
2019-12-25/04:10:00	2019-12-25/04:20:00	78.156	-2.382
2019-12-25/04:40:00	2019-12-25/04:50:00	83.019	-0.763
2019-12-25/05:30:00	2019-12-25/05:40:00	72.904	-0.017
2019-12-25/06:15:00	2019-12-25/06:25:00	78.608	0.09
2019-12-25/07:50:00	2019-12-25/08:00:00	73.893	-1.032
2019-12-31/16:25:00	2019-12-31/16:35:00	124.901	-3.948
2020-01-08/06:15:00	2020-01-08/06:25:00	96.245	1.635
2020-01-08/06:45:00	2020-01-08/06:55:00	96.58	1.918
2020-01-08/07:35:00	2020-01-08/07:45:00	82.471	2.163
2020-01-08/08:35:00	2020-01-08/08:45:00	103.328	2.162
2020-01-08/09:05:00	2020-01-08/09:15:00	97.731	2.032
2020-01-08/10:15:00	2020-01-08/10:25:00	89.831	2.585
2020-01-08/10:45:00	2020-01-08/10:55:00	97.955	2.755
2020-01-13/19:10:00	2020-01-13/19:20:00	91.599	-1.107
2020-01-13/19:40:00	2020-01-13/19:50:00	96.35	-1.87
2020-01-13/20:10:00	2020-01-13/20:20:00	93.973	-2.218
2020-01-13/20:40:00	2020-01-13/20:50:00	108.326	-2.252
2020-01-13/21:10:00	2020-01-13/21:20:00	96.515	-2.085
2020-01-13/21:40:00	2020-01-13/21:50:00	112.803	-2.068
2020-01-13/22:20:00	2020-01-13/22:30:00	114.458	-1.792
2020-01-14/09:55:00	2020-01-14/10:05:00	112.989	-2.198
2020-01-14/18:10:00	2020-01-14/18:20:00	102.527	-0.992
2020-01-14/20:00:00	2020-01-14/20:10:00	88.272	-0.797
2020-01-14/21:35:00	2020-01-14/21:45:00	64.715	-0.972
2020-01-14/23:15:00	2020-01-14/23:25:00	90.941	-1.795
2020-01-15/01:00:00	2020-01-15/01:10:00	51.361	-2.102
2020-01-15/01:45:00	2020-01-15/01:55:00	74.177	-1.018
2020-01-15/05:15:00	2020-01-15/05:25:00	84.054	-1.25
