Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2020-11-10/00:40:00	2020-11-10/00:50:00	298.446	1.925	-4.07	2.208
2020-11-10/01:10:00	2020-11-10/01:20:00	294.066	1.622	-4.26	1.898
2020-11-10/01:40:00	2020-11-10/01:50:00	296.921	2.075	-3.895	1.963
2020-11-10/02:10:00	2020-11-10/02:20:00	298.554	2.005	-3.842	2.055
2020-11-10/02:40:00	2020-11-10/02:50:00	296.938	0.358	-4.247	2.155
2020-11-10/03:10:00	2020-11-10/03:20:00	291.516	1.29	-4.217	1.68
2020-11-10/03:40:00	2020-11-10/03:50:00	279.679	1.323	-4.332	0.737
2020-11-10/04:10:00	2020-11-10/04:20:00	285.947	1.165	-3.96	1.123
2020-11-10/04:40:00	2020-11-10/04:50:00	290.488	1.06	-3.955	1.48
2020-11-10/05:10:00	2020-11-10/05:20:00	285.6	0.798	-4.247	1.183
2020-11-10/06:10:00	2020-11-10/06:20:00	291.866	0.272	-4.15	1.665
2020-11-10/08:10:00	2020-11-10/08:20:00	288.89	-0.758	-4.1	1.398
2020-11-10/15:10:00	2020-11-10/15:20:00	304.528	3.473	-1.813	1.245
2020-11-10/15:45:00	2020-11-10/15:55:00	304.443	2.84	-1.995	1.37
2020-11-10/16:15:00	2020-11-10/16:25:00	298.908	2.588	-2.313	1.277
2020-11-10/16:45:00	2020-11-10/16:55:00	288.338	2.735	-2.285	0.783
2020-11-10/17:15:00	2020-11-10/17:25:00	296.709	2.443	-2.518	1.268
2020-11-10/17:45:00	2020-11-10/17:55:00	294.709	2.538	-2.47	1.147
2020-11-10/18:15:00	2020-11-10/18:25:00	285.107	2.727	-2.378	0.632
2020-11-10/19:00:00	2020-11-10/19:10:00	274.702	2.227	-3.023	0.248
2020-11-10/19:30:00	2020-11-10/19:40:00	283.406	2.883	-2.565	0.615
2020-11-10/20:00:00	2020-11-10/20:10:00	279.386	3.128	-2.315	0.383
2020-11-10/20:30:00	2020-11-10/20:40:00	291.784	3.297	-2.078	0.832
2020-11-10/21:00:00	2020-11-10/21:10:00	293.343	3.168	-1.953	0.842
2020-11-10/21:30:00	2020-11-10/21:40:00	290.113	3.173	-2.068	0.757
2020-11-10/22:00:00	2020-11-10/22:10:00	298.299	3.235	-1.793	0.963
2020-11-10/22:30:00	2020-11-10/22:40:00	302.645	3.237	-1.607	1.032
2020-11-10/23:00:00	2020-11-10/23:10:00	307.069	3.302	-1.417	1.072
2020-11-11/06:45:00	2020-11-11/06:55:00	225.55	3.495	-1.158	-1.128
2020-11-11/07:15:00	2020-11-11/07:25:00	227.387	3.405	-1.217	-1.117
2020-11-11/07:45:00	2020-11-11/07:55:00	238.552	3.293	-1.645	-1.0
2020-11-11/08:15:00	2020-11-11/08:25:00	259.646	2.998	-2.442	-0.452
2020-11-11/08:45:00	2020-11-11/08:55:00	265.582	3.155	-2.208	-0.15
2020-11-11/09:15:00	2020-11-11/09:25:00	274.86	1.415	-4.025	0.362
2020-11-11/09:45:00	2020-11-11/09:55:00	276.976	1.162	-4.302	0.528
2020-11-13/04:20:00	2020-11-13/04:30:00	231.075	-3.308	-1.853	-1.415
2020-11-13/07:05:00	2020-11-13/07:15:00	290.642	1.735	-1.885	0.725
2020-11-13/18:20:00	2020-11-13/18:30:00	237.127	-2.27	-1.733	-1.137
2020-11-14/03:55:00	2020-11-14/04:05:00	271.146	-2.377	-2.52	0.105
2020-11-14/04:25:00	2020-11-14/04:35:00	288.546	-1.917	-2.908	0.977
2020-11-14/04:55:00	2020-11-14/05:05:00	291.925	-1.975	-2.728	1.102
2020-11-16/14:15:00	2020-11-16/14:25:00	263.552	1.623	-2.642	-0.285
2020-11-16/14:50:00	2020-11-16/15:00:00	268.552	0.757	-2.937	-0.083
2020-11-16/15:20:00	2020-11-16/15:30:00	265.352	1.427	-3.26	-0.265
2020-11-16/15:50:00	2020-11-16/16:00:00	274.225	1.457	-3.525	0.26
2020-11-16/16:20:00	2020-11-16/16:30:00	259.04	0.777	-3.638	-0.705
2020-11-16/16:50:00	2020-11-16/17:00:00	274.408	0.778	-3.843	0.302
2020-11-16/17:20:00	2020-11-16/17:30:00	287.995	0.827	-3.822	1.243
2020-11-16/17:50:00	2020-11-16/18:00:00	296.217	0.055	-3.498	1.695
2020-11-21/03:20:00	2020-11-21/03:30:00	239.902	3.667	-2.683	-1.547
2020-11-28/21:35:00	2020-11-28/21:45:00	262.169	2.535	-3.94	-0.54
2020-11-28/22:05:00	2020-11-28/22:15:00	266.034	0.832	-4.317	-0.292
2020-12-01/03:15:00	2020-12-01/03:25:00	295.449	-0.71	-3.717	1.763
2020-12-05/23:05:00	2020-12-05/23:15:00	240.546	-1.903	-2.828	-1.587
2020-12-08/17:45:00	2020-12-08/17:55:00	259.624	3.917	-3.383	-0.645
2020-12-08/18:30:00	2020-12-08/18:40:00	286.819	3.877	-3.102	0.928
2020-12-08/19:10:00	2020-12-08/19:20:00	249.917	4.453	-2.637	-0.983
2020-12-08/19:40:00	2020-12-08/19:50:00	233.586	4.38	-2.423	-1.777
2020-12-08/20:10:00	2020-12-08/20:20:00	227.084	4.323	-2.122	-1.98
2020-12-08/20:40:00	2020-12-08/20:50:00	232.571	4.105	-2.45	-1.867
2020-12-09/09:00:00	2020-12-09/09:10:00	298.252	2.152	-4.36	2.362
2020-12-09/10:30:00	2020-12-09/10:40:00	263.456	0.993	-5.655	-0.65
2020-12-11/04:45:00	2020-12-11/04:55:00	235.782	-2.602	-4.093	-2.777
2020-12-11/06:10:00	2020-12-11/06:20:00	268.314	-0.772	-5.115	-0.147
2020-12-11/06:40:00	2020-12-11/06:50:00	275.052	-0.95	-5.118	0.45
2020-12-11/07:10:00	2020-12-11/07:20:00	274.185	-1.125	-5.217	0.378
2020-12-11/07:40:00	2020-12-11/07:50:00	273.653	-0.775	-5.532	0.353
2020-12-11/08:10:00	2020-12-11/08:20:00	273.221	-0.668	-5.392	0.303
2020-12-11/08:40:00	2020-12-11/08:50:00	270.361	-0.548	-5.548	0.033
2020-12-11/13:55:00	2020-12-11/14:05:00	287.447	3.515	-1.403	0.438
2020-12-11/21:15:00	2020-12-11/21:25:00	254.56	2.242	-3.397	-0.937
2020-12-11/21:45:00	2020-12-11/21:55:00	250.606	2.113	-3.407	-1.207
2020-12-12/03:55:00	2020-12-12/04:05:00	285.804	2.815	-4.268	1.215
2020-12-12/04:25:00	2020-12-12/04:35:00	270.798	2.927	-4.588	0.065
2020-12-12/04:55:00	2020-12-12/05:05:00	286.58	2.53	-4.753	1.422
2020-12-12/05:25:00	2020-12-12/05:35:00	283.993	2.598	-4.653	1.202
2020-12-12/06:40:00	2020-12-12/06:50:00	272.23	2.647	-4.532	0.178
2020-12-12/07:10:00	2020-12-12/07:20:00	276.394	2.897	-4.53	0.495
2020-12-12/07:45:00	2020-12-12/07:55:00	293.149	2.928	-3.927	1.67
2020-12-12/08:15:00	2020-12-12/08:25:00	301.534	2.835	-3.975	2.448
2020-12-12/11:50:00	2020-12-12/12:00:00	304.996	1.123	-3.883	2.722
2020-12-12/12:45:00	2020-12-12/12:55:00	270.027	0.893	-5.095	0.003
2020-12-12/13:15:00	2020-12-12/13:25:00	291.023	2.603	-3.84	1.4
2020-12-12/13:45:00	2020-12-12/13:55:00	269.588	2.497	-4.273	-0.028
2020-12-12/14:15:00	2020-12-12/14:25:00	270.604	2.567	-4.073	0.052
2020-12-12/14:45:00	2020-12-12/14:55:00	266.134	2.698	-3.74	-0.257
2020-12-12/16:00:00	2020-12-12/16:10:00	303.05	2.65	-3.635	2.367
2020-12-12/16:30:00	2020-12-12/16:40:00	296.791	2.428	-3.723	1.885
2020-12-12/17:00:00	2020-12-12/17:10:00	279.534	2.958	-3.522	0.592
2020-12-12/17:30:00	2020-12-12/17:40:00	292.095	2.99	-3.148	1.277
2020-12-12/19:15:00	2020-12-12/19:25:00	280.226	3.555	-2.16	0.423
2020-12-12/21:25:00	2020-12-12/21:35:00	266.087	3.542	-3.062	-0.252
2020-12-12/23:25:00	2020-12-12/23:35:00	269.9	2.943	-3.472	0.0
2020-12-25/03:50:00	2020-12-25/04:00:00	284.379	-3.88	-1.662	0.422
2020-12-28/15:30:00	2020-12-28/15:40:00	292.954	2.732	-2.755	1.178
2020-12-28/18:30:00	2020-12-28/18:40:00	271.185	-0.408	-2.685	-0.033
2020-12-29/03:05:00	2020-12-29/03:15:00	234.939	-2.96	-3.952	-2.683
2020-12-29/03:35:00	2020-12-29/03:45:00	265.932	0.177	-6.177	-0.452
2020-12-29/04:10:00	2020-12-29/04:20:00	286.327	1.355	-5.375	1.57
2020-12-29/04:40:00	2020-12-29/04:50:00	286.556	2.097	-5.477	1.613
2020-12-29/06:50:00	2020-12-29/07:00:00	258.633	-2.393	-4.415	-0.887
2020-12-29/07:20:00	2020-12-29/07:30:00	238.983	-3.545	-3.67	-2.205
2020-12-29/07:50:00	2020-12-29/08:00:00	235.55	-4.26	-3.008	-2.027
2020-12-29/08:20:00	2020-12-29/08:30:00	246.12	-3.678	-3.582	-1.517
2020-12-29/09:25:00	2020-12-29/09:35:00	293.828	4.3	-3.832	1.725
2020-12-29/17:05:00	2020-12-29/17:15:00	287.77	1.003	-5.975	1.918
2020-12-29/19:05:00	2020-12-29/19:15:00	266.283	2.718	-5.265	-0.318
2020-12-29/20:05:00	2020-12-29/20:15:00	306.194	3.242	-4.075	2.997
2020-12-29/21:55:00	2020-12-29/22:05:00	235.703	3.623	-4.493	-3.082
2020-12-29/22:45:00	2020-12-29/22:55:00	306.387	4.195	-3.443	2.587
2020-12-30/02:10:00	2020-12-30/02:20:00	238.812	2.237	-4.002	-2.49
2020-12-30/02:40:00	2020-12-30/02:50:00	231.692	-0.372	-4.595	-3.633
2020-12-30/03:50:00	2020-12-30/04:00:00	228.948	0.343	-4.255	-3.685
2020-12-30/05:00:00	2020-12-30/05:10:00	312.628	3.088	-3.238	2.89
2020-12-30/05:55:00	2020-12-30/06:05:00	307.838	3.747	-3.082	2.372
2020-12-30/09:00:00	2020-12-30/09:10:00	238.783	-1.298	-4.857	-2.955
2021-01-01/12:15:00	2021-01-01/12:25:00	291.987	0.152	-2.403	0.932
2021-01-01/16:35:00	2021-01-01/16:45:00	314.02	1.717	-2.373	2.295
2021-01-01/17:05:00	2021-01-01/17:15:00	313.578	1.76	-2.107	2.027
2021-01-02/05:50:00	2021-01-02/06:00:00	266.187	0.128	-3.24	-0.22
2021-01-02/06:20:00	2021-01-02/06:30:00	269.463	-0.075	-3.135	-0.032
2021-01-02/07:15:00	2021-01-02/07:25:00	297.548	1.815	-2.187	1.14
2021-01-02/17:35:00	2021-01-02/17:45:00	314.509	2.48	-1.022	1.058
2021-01-02/18:10:00	2021-01-02/18:20:00	286.29	1.015	-2.208	0.7
2021-01-02/23:30:00	2021-01-02/23:40:00	302.775	2.182	-2.115	1.34
2021-01-08/05:40:00	2021-01-08/05:50:00	313.971	3.42	-0.705	0.682
2021-01-08/09:35:00	2021-01-08/09:45:00	314.315	3.628	-1.177	1.138
2021-01-08/10:05:00	2021-01-08/10:15:00	291.64	3.338	-1.597	0.642
2021-01-08/11:30:00	2021-01-08/11:40:00	285.341	-2.713	-1.798	0.547
2021-01-08/12:00:00	2021-01-08/12:10:00	293.307	-1.985	-2.985	1.28
2021-01-08/12:30:00	2021-01-08/12:40:00	287.533	-2.492	-3.013	0.958
2021-01-08/13:00:00	2021-01-08/13:10:00	283.777	-2.623	-2.71	0.657
2021-01-08/13:50:00	2021-01-08/14:00:00	267.841	-3.337	-2.627	-0.09
2021-01-08/14:20:00	2021-01-08/14:30:00	259.906	-3.428	-2.653	-0.448
2021-01-08/14:50:00	2021-01-08/15:00:00	266.565	-3.052	-2.977	-0.18
2021-01-08/15:20:00	2021-01-08/15:30:00	258.383	-3.197	-3.14	-0.652
2021-01-08/16:00:00	2021-01-08/16:10:00	285.97	-1.087	-3.455	0.99
2021-01-08/16:30:00	2021-01-08/16:40:00	279.415	-3.257	-2.465	0.407
2021-01-08/17:00:00	2021-01-08/17:10:00	280.208	-2.952	-2.737	0.492
2021-01-08/17:30:00	2021-01-08/17:40:00	284.897	-2.742	-2.967	0.805
2021-01-08/19:40:00	2021-01-08/19:50:00	270.236	-2.403	-2.275	-0.01
2021-01-08/22:50:00	2021-01-08/23:00:00	245.212	3.753	-1.4	-0.652
